year,period_start,period_end,complete_year,age_group,east_midlands,east_of_england,london,north_east,north_west,south_east,south_west,west_midlands,yorkshire_and_humber,england
2023,2023-01-01,2023-12-31,true,under_1,1,0,16,0,2,2,1,21,4,47
2023,2023-01-01,2023-12-31,true,1_to_4,0,2,36,1,3,5,4,39,9,99
2023,2023-01-01,2023-12-31,true,5_to_10,1,3,29,1,1,2,0,46,4,87
2023,2023-01-01,2023-12-31,true,11_to_14,2,0,8,0,1,1,2,23,0,37
2023,2023-01-01,2023-12-31,true,15_to_24,5,2,12,0,0,1,2,9,3,34
2023,2023-01-01,2023-12-31,true,25_to_34,0,0,11,0,0,1,0,12,6,30
2023,2023-01-01,2023-12-31,true,35_and_over,0,2,13,1,1,2,1,9,4,33
2024,2024-01-01,2024-12-31,true,under_1,13,25,151,15,11,15,10,70,22,332
2024,2024-01-01,2024-12-31,true,1_to_4,57,66,327,16,23,16,10,157,38,710
2024,2024-01-01,2024-12-31,true,5_to_10,68,63,362,20,13,14,20,116,54,730
2024,2024-01-01,2024-12-31,true,11_to_14,25,19,78,7,5,8,10,49,9,210
2024,2024-01-01,2024-12-31,true,15_to_24,22,28,122,4,12,16,24,84,16,328
2024,2024-01-01,2024-12-31,true,25_to_34,16,29,144,8,17,26,19,47,16,322
2024,2024-01-01,2024-12-31,true,35_and_over,13,22,121,9,18,26,19,39,12,279
2025,2025-01-01,2025-12-31,true,under_1,6,7,49,1,24,4,10,9,7,117
2025,2025-01-01,2025-12-31,true,1_to_4,6,20,166,2,51,5,14,26,18,308
2025,2025-01-01,2025-12-31,true,5_to_10,0,23,144,0,25,5,6,9,18,230
2025,2025-01-01,2025-12-31,true,11_to_14,1,6,32,0,7,0,4,7,3,60
2025,2025-01-01,2025-12-31,true,15_to_24,4,10,37,0,7,9,6,15,4,92
2025,2025-01-01,2025-12-31,true,25_to_34,3,7,41,0,12,3,11,8,4,89
2025,2025-01-01,2025-12-31,true,35_and_over,2,3,24,3,8,8,9,2,4,63
2026,2026-01-01,2026-06-22,false,under_1,2,10,42,1,10,0,0,25,4,94
2026,2026-01-01,2026-06-22,false,1_to_4,5,17,121,1,21,2,2,38,13,220
2026,2026-01-01,2026-06-22,false,5_to_10,1,16,100,1,17,0,0,25,8,168
2026,2026-01-01,2026-06-22,false,11_to_14,2,2,29,0,8,0,0,7,2,50
2026,2026-01-01,2026-06-22,false,15_to_24,1,4,55,0,8,3,0,11,15,97
2026,2026-01-01,2026-06-22,false,25_to_34,3,8,44,1,14,0,1,15,6,92
2026,2026-01-01,2026-06-22,false,35_and_over,0,6,39,1,9,2,4,18,1,80
