theme,sub_theme,topic,geography_type,geography,metric,sex,age,stratum,year,date,metric_value,in_reporting_delay_period
infectious_disease,vaccine_preventable,Measles,Nation,England,measles_cases_casesByOnsetWeek,all,all,default,2026,2026-08-03,2.0000,True
infectious_disease,vaccine_preventable,Measles,UKHSA Region,London,measles_cases_casesByOnsetWeek,all,all,default,2026,2026-08-03,0.0000,True
infectious_disease,vaccine_preventable,Measles,Nation,England,measles_cases_casesByOnsetWeek,all,all,default,2026,2026-07-27,10.0000,True
infectious_disease,vaccine_preventable,Measles,UKHSA Region,London,measles_cases_casesByOnsetWeek,all,all,default,2026,2026-07-27,3.0000,True
infectious_disease,vaccine_preventable,Measles,Nation,England,measles_cases_casesByOnsetWeek,all,all,default,2026,2026-07-20,6.0000,True
infectious_disease,vaccine_preventable,Measles,UKHSA Region,London,measles_cases_casesByOnsetWeek,all,all,default,2026,2026-07-20,2.0000,True
infectious_disease,vaccine_preventable,Measles,Nation,England,measles_cases_casesByOnsetWeek,all,all,default,2026,2026-07-13,15.0000,False
infectious_disease,vaccine_preventable,Measles,UKHSA Region,London,measles_cases_casesByOnsetWeek,all,all,default,2026,2026-07-13,10.0000,False
infectious_disease,vaccine_preventable,Measles,Nation,England,measles_cases_casesByOnsetWeek,all,all,default,2026,2026-07-06,8.0000,False
infectious_disease,vaccine_preventable,Measles,UKHSA Region,London,measles_cases_casesByOnsetWeek,all,all,default,2026,2026-07-06,2.0000,False
infectious_disease,vaccine_preventable,Measles,Nation,England,measles_cases_casesByOnsetWeek,all,all,default,2026,2026-06-29,22.0000,False
infectious_disease,vaccine_preventable,Measles,UKHSA Region,London,measles_cases_casesByOnsetWeek,all,all,default,2026,2026-06-29,6.0000,False
infectious_disease,vaccine_preventable,Measles,Nation,England,measles_cases_casesByOnsetWeek,all,all,default,2026,2026-06-22,39.0000,False
infectious_disease,vaccine_preventable,Measles,UKHSA Region,London,measles_cases_casesByOnsetWeek,all,all,default,2026,2026-06-22,18.0000,False
infectious_disease,vaccine_preventable,Measles,Nation,England,measles_cases_casesByOnsetWeek,all,all,default,2026,2026-06-15,31.0000,False
infectious_disease,vaccine_preventable,Measles,UKHSA Region,London,measles_cases_casesByOnsetWeek,all,all,default,2026,2026-06-15,13.0000,False
infectious_disease,vaccine_preventable,Measles,Nation,England,measles_cases_casesByOnsetWeek,all,all,default,2026,2026-06-08,33.0000,False
infectious_disease,vaccine_preventable,Measles,UKHSA Region,London,measles_cases_casesByOnsetWeek,all,all,default,2026,2026-06-08,16.0000,False
infectious_disease,vaccine_preventable,Measles,Nation,England,measles_cases_casesByOnsetWeek,all,all,default,2026,2026-06-01,43.0000,False
infectious_disease,vaccine_preventable,Measles,UKHSA Region,London,measles_cases_casesByOnsetWeek,all,all,default,2026,2026-06-01,13.0000,False
infectious_disease,vaccine_preventable,Measles,Nation,England,measles_cases_casesByOnsetWeek,all,all,default,2026,2026-05-25,63.0000,False
infectious_disease,vaccine_preventable,Measles,UKHSA Region,London,measles_cases_casesByOnsetWeek,all,all,default,2026,2026-05-25,33.0000,False
infectious_disease,vaccine_preventable,Measles,Nation,England,measles_cases_casesByOnsetWeek,all,all,default,2026,2026-05-18,54.0000,False
infectious_disease,vaccine_preventable,Measles,UKHSA Region,London,measles_cases_casesByOnsetWeek,all,all,default,2026,2026-05-18,18.0000,False
infectious_disease,vaccine_preventable,Measles,Nation,England,measles_cases_casesByOnsetWeek,all,all,default,2026,2026-05-11,42.0000,False
infectious_disease,vaccine_preventable,Measles,UKHSA Region,London,measles_cases_casesByOnsetWeek,all,all,default,2026,2026-05-11,19.0000,False
infectious_disease,vaccine_preventable,Measles,Nation,England,measles_cases_casesByOnsetWeek,all,all,default,2026,2026-05-04,45.0000,False
infectious_disease,vaccine_preventable,Measles,UKHSA Region,London,measles_cases_casesByOnsetWeek,all,all,default,2026,2026-05-04,22.0000,False
infectious_disease,vaccine_preventable,Measles,Nation,England,measles_cases_casesByOnsetWeek,all,all,default,2026,2026-04-27,35.0000,False
infectious_disease,vaccine_preventable,Measles,UKHSA Region,London,measles_cases_casesByOnsetWeek,all,all,default,2026,2026-04-27,15.0000,False
infectious_disease,vaccine_preventable,Measles,Nation,England,measles_cases_casesByOnsetWeek,all,all,default,2026,2026-04-20,27.0000,False
infectious_disease,vaccine_preventable,Measles,UKHSA Region,London,measles_cases_casesByOnsetWeek,all,all,default,2026,2026-04-20,16.0000,False
infectious_disease,vaccine_preventable,Measles,Nation,England,measles_cases_casesByOnsetWeek,all,all,default,2026,2026-04-13,43.0000,False
infectious_disease,vaccine_preventable,Measles,UKHSA Region,London,measles_cases_casesByOnsetWeek,all,all,default,2026,2026-04-13,24.0000,False
infectious_disease,vaccine_preventable,Measles,Nation,England,measles_cases_casesByOnsetWeek,all,all,default,2026,2026-04-06,35.0000,False
infectious_disease,vaccine_preventable,Measles,UKHSA Region,London,measles_cases_casesByOnsetWeek,all,all,default,2026,2026-04-06,28.0000,False
infectious_disease,vaccine_preventable,Measles,Nation,England,measles_cases_casesByOnsetWeek,all,all,default,2026,2026-03-30,38.0000,False
infectious_disease,vaccine_preventable,Measles,UKHSA Region,London,measles_cases_casesByOnsetWeek,all,all,default,2026,2026-03-30,25.0000,False
infectious_disease,vaccine_preventable,Measles,Nation,England,measles_cases_casesByOnsetWeek,all,all,default,2026,2026-03-23,31.0000,False
infectious_disease,vaccine_preventable,Measles,UKHSA Region,London,measles_cases_casesByOnsetWeek,all,all,default,2026,2026-03-23,13.0000,False
