year,period_start,period_end,complete_year,region,age_group,confirmed_cases,source_url
2023,2023-01-01,2023-12-31,true,West Midlands,under 1,21,https://www.gov.uk/government/publications/measles-epidemiology-2023-to-2026/confirmed-cases-of-measles-in-england-by-month-age-and-region-2023
2023,2023-01-01,2023-12-31,true,West Midlands,1 to 4,39,https://www.gov.uk/government/publications/measles-epidemiology-2023-to-2026/confirmed-cases-of-measles-in-england-by-month-age-and-region-2023
2023,2023-01-01,2023-12-31,true,West Midlands,5 to 10,46,https://www.gov.uk/government/publications/measles-epidemiology-2023-to-2026/confirmed-cases-of-measles-in-england-by-month-age-and-region-2023
2023,2023-01-01,2023-12-31,true,West Midlands,11 to 14,23,https://www.gov.uk/government/publications/measles-epidemiology-2023-to-2026/confirmed-cases-of-measles-in-england-by-month-age-and-region-2023
2023,2023-01-01,2023-12-31,true,West Midlands,15 to 24,9,https://www.gov.uk/government/publications/measles-epidemiology-2023-to-2026/confirmed-cases-of-measles-in-england-by-month-age-and-region-2023
2023,2023-01-01,2023-12-31,true,West Midlands,25 to 34,12,https://www.gov.uk/government/publications/measles-epidemiology-2023-to-2026/confirmed-cases-of-measles-in-england-by-month-age-and-region-2023
2023,2023-01-01,2023-12-31,true,West Midlands,35 and over,9,https://www.gov.uk/government/publications/measles-epidemiology-2023-to-2026/confirmed-cases-of-measles-in-england-by-month-age-and-region-2023
2024,2024-01-01,2024-12-31,true,West Midlands,under 1,70,https://www.gov.uk/government/publications/measles-epidemiology-2023-to-2026/confirmed-cases-of-measles-in-england-by-month-age-region-and-upper-tier-local-authority-2024
2024,2024-01-01,2024-12-31,true,West Midlands,1 to 4,157,https://www.gov.uk/government/publications/measles-epidemiology-2023-to-2026/confirmed-cases-of-measles-in-england-by-month-age-region-and-upper-tier-local-authority-2024
2024,2024-01-01,2024-12-31,true,West Midlands,5 to 10,116,https://www.gov.uk/government/publications/measles-epidemiology-2023-to-2026/confirmed-cases-of-measles-in-england-by-month-age-region-and-upper-tier-local-authority-2024
2024,2024-01-01,2024-12-31,true,West Midlands,11 to 14,49,https://www.gov.uk/government/publications/measles-epidemiology-2023-to-2026/confirmed-cases-of-measles-in-england-by-month-age-region-and-upper-tier-local-authority-2024
2024,2024-01-01,2024-12-31,true,West Midlands,15 to 24,84,https://www.gov.uk/government/publications/measles-epidemiology-2023-to-2026/confirmed-cases-of-measles-in-england-by-month-age-region-and-upper-tier-local-authority-2024
2024,2024-01-01,2024-12-31,true,West Midlands,25 to 34,47,https://www.gov.uk/government/publications/measles-epidemiology-2023-to-2026/confirmed-cases-of-measles-in-england-by-month-age-region-and-upper-tier-local-authority-2024
2024,2024-01-01,2024-12-31,true,West Midlands,35 and over,39,https://www.gov.uk/government/publications/measles-epidemiology-2023-to-2026/confirmed-cases-of-measles-in-england-by-month-age-region-and-upper-tier-local-authority-2024
2025,2025-01-01,2025-12-31,true,West Midlands,under 1,9,https://www.gov.uk/government/publications/measles-epidemiology-2023-to-2026/confirmed-cases-of-measles-in-england-by-month-age-region-and-upper-tier-local-authority-2025
2025,2025-01-01,2025-12-31,true,West Midlands,1 to 4,26,https://www.gov.uk/government/publications/measles-epidemiology-2023-to-2026/confirmed-cases-of-measles-in-england-by-month-age-region-and-upper-tier-local-authority-2025
2025,2025-01-01,2025-12-31,true,West Midlands,5 to 10,9,https://www.gov.uk/government/publications/measles-epidemiology-2023-to-2026/confirmed-cases-of-measles-in-england-by-month-age-region-and-upper-tier-local-authority-2025
2025,2025-01-01,2025-12-31,true,West Midlands,11 to 14,7,https://www.gov.uk/government/publications/measles-epidemiology-2023-to-2026/confirmed-cases-of-measles-in-england-by-month-age-region-and-upper-tier-local-authority-2025
2025,2025-01-01,2025-12-31,true,West Midlands,15 to 24,15,https://www.gov.uk/government/publications/measles-epidemiology-2023-to-2026/confirmed-cases-of-measles-in-england-by-month-age-region-and-upper-tier-local-authority-2025
2025,2025-01-01,2025-12-31,true,West Midlands,25 to 34,8,https://www.gov.uk/government/publications/measles-epidemiology-2023-to-2026/confirmed-cases-of-measles-in-england-by-month-age-region-and-upper-tier-local-authority-2025
2025,2025-01-01,2025-12-31,true,West Midlands,35 and over,2,https://www.gov.uk/government/publications/measles-epidemiology-2023-to-2026/confirmed-cases-of-measles-in-england-by-month-age-region-and-upper-tier-local-authority-2025
2026,2026-01-01,2026-06-22,false,West Midlands,under 1,25,https://www.gov.uk/government/publications/measles-epidemiology-2023-to-2026/confirmed-cases-of-measles-in-england-by-month-age-region-and-upper-tier-local-authority-2026
2026,2026-01-01,2026-06-22,false,West Midlands,1 to 4,38,https://www.gov.uk/government/publications/measles-epidemiology-2023-to-2026/confirmed-cases-of-measles-in-england-by-month-age-region-and-upper-tier-local-authority-2026
2026,2026-01-01,2026-06-22,false,West Midlands,5 to 10,25,https://www.gov.uk/government/publications/measles-epidemiology-2023-to-2026/confirmed-cases-of-measles-in-england-by-month-age-region-and-upper-tier-local-authority-2026
2026,2026-01-01,2026-06-22,false,West Midlands,11 to 14,7,https://www.gov.uk/government/publications/measles-epidemiology-2023-to-2026/confirmed-cases-of-measles-in-england-by-month-age-region-and-upper-tier-local-authority-2026
2026,2026-01-01,2026-06-22,false,West Midlands,15 to 24,11,https://www.gov.uk/government/publications/measles-epidemiology-2023-to-2026/confirmed-cases-of-measles-in-england-by-month-age-region-and-upper-tier-local-authority-2026
2026,2026-01-01,2026-06-22,false,West Midlands,25 to 34,15,https://www.gov.uk/government/publications/measles-epidemiology-2023-to-2026/confirmed-cases-of-measles-in-england-by-month-age-region-and-upper-tier-local-authority-2026
2026,2026-01-01,2026-06-22,false,West Midlands,35 and over,18,https://www.gov.uk/government/publications/measles-epidemiology-2023-to-2026/confirmed-cases-of-measles-in-england-by-month-age-region-and-upper-tier-local-authority-2026
