date,observed_cases
2024-01-01,7.0
2024-01-08,12.0
2024-01-15,12.0
2024-01-22,9.0
2024-01-29,8.0
2024-02-05,16.0
2024-02-12,12.0
2024-02-19,14.0
2024-02-26,28.0
2024-03-04,27.0
2024-03-11,33.0
2024-03-18,36.0
2024-03-25,29.0
2024-04-01,39.0
2024-04-08,58.0
2024-04-15,42.0
2024-04-22,40.0
2024-04-29,34.0
2024-05-06,44.0
2024-05-13,58.0
2024-05-20,57.0
2024-05-27,42.0
2024-06-03,38.0
2024-06-10,32.0
2024-06-17,49.0
2024-06-24,53.0
2024-07-01,47.0
2024-07-08,65.0
2024-07-15,65.0
2024-07-22,40.0
2024-07-29,48.0
2024-08-05,38.0
2024-08-12,29.0
2024-08-19,21.0
2024-08-26,17.0
2024-09-02,16.0
2024-09-09,15.0
2024-09-16,11.0
2024-09-23,6.0
2024-09-30,7.0
2024-10-07,6.0
2024-10-14,5.0
2024-10-21,5.0
2024-10-28,6.0
2024-11-04,5.0
2024-11-11,1.0
2024-11-18,4.0
2024-11-25,5.0
2024-12-02,3.0
2024-12-09,4.0
2024-12-16,2.0
2024-12-23,4.0
2024-12-30,4.0
2025-01-06,2.0
2025-01-13,5.0
2025-01-20,4.0
2025-01-27,2.0
2025-02-03,5.0
2025-02-10,3.0
2025-02-17,5.0
2025-02-24,4.0
2025-03-03,6.0
2025-03-10,8.0
2025-03-17,10.0
2025-03-24,6.0
2025-03-31,10.0
2025-04-07,12.0
2025-04-14,18.0
2025-04-21,13.0
2025-04-28,14.0
2025-05-05,12.0
2025-05-12,11.0
2025-05-19,19.0
2025-05-26,18.0
2025-06-02,21.0
2025-06-09,16.0
2025-06-16,19.0
2025-06-23,17.0
2025-06-30,22.0
2025-07-07,20.0
2025-07-14,30.0
2025-07-21,11.0
2025-07-28,15.0
2025-08-04,14.0
2025-08-11,8.0
2025-08-18,3.0
2025-08-25,5.0
2025-09-01,5.0
2025-09-08,4.0
2025-09-15,6.0
2025-09-22,3.0
2025-09-29,4.0
2025-10-06,2.0
2025-10-13,1.0
2025-10-20,7.0
2025-10-27,5.0
2025-11-03,6.0
2025-11-10,7.0
2025-11-17,8.0
2025-11-24,12.0
2025-12-01,12.0
2025-12-08,8.0
2025-12-15,6.0
2025-12-22,4.0
2025-12-29,5.0
2026-01-05,5.0
2026-01-12,23.0
2026-01-19,17.0
2026-01-26,22.0
2026-02-02,14.0
2026-02-09,33.0
2026-02-16,29.0
2026-02-23,15.0
2026-03-02,18.0
2026-03-09,8.0
2026-03-16,13.0
2026-03-23,13.0
2026-03-30,25.0
2026-04-06,27.0
2026-04-13,24.0
2026-04-20,16.0
2026-04-27,16.0
2026-05-04,21.0
