parameter,min,max
gamma,0.05563698492704268,0.07943775542372478
local_mixing,0.303831128804253,0.4536519857472122
contact_scale,0.12687998398122086,0.1893339516353681
sick_contact_multiplier,0.531048213635937,0.792981583095277
sick_mobility_multiplier,0.11185616476311232,0.16708141063956658
seed_infections_per_week,4.183050364431932,6.253716736190725
initial_exposed_per_case,1.6068018223043423,2.400093087412263
initial_infectious_per_case,0.23109198557835675,0.629265542440993
seasonal_amplitude,0.4815248734460061,0.7184944839925751
seasonal_peak_week,10.772463542446568,16.08003040455466
seasonal_period_weeks,50.0272550013944,53.98019670301755
beta_0,3.741558784197684e-05,5.586845022926178e-05
sigma,0.0721171402641986,0.10787030881747475
eta,2.1619244725266345e-05,3.238390334368579e-05
nu,0.0024021241689874255,0.0035974019192001735
delta,0.0007209127406545209,0.0010780714779854072
phi,0.09631804841956958,0.14368143802389363
mu,8.006722013601015,11.98801989339492
psi,0.26761968868422414,0.3996301700918633
reporting_rate,0.8002264457034701,0.9987831207290748
sh_noise_multiplier,0.8007822846245243,0.9993652747948634
noise_scale,0.02403753454306899,0.03596284639447297
dt,0.016005722701689366,0.023945824406659783
