design_id,gamma,local_mixing,contact_scale,sick_contact_multiplier,sick_mobility_multiplier,seed_infections_per_week,initial_exposed_per_case,initial_infectious_per_case,seasonal_amplitude,seasonal_peak_week,seasonal_period_weeks,beta_0,sigma,eta,nu,delta,phi,mu,psi,reporting_rate,sh_noise_multiplier,noise_scale,dt
0,0.07674974166650317,0.39750964271994627,0.15551529032127812,0.7764885317945229,0.15884883447632478,5.0852991492363415,2.3888053210426463,0.5995645801634794,0.5391117631533962,13.715641150352416,52.20264126127982,4.8746082278751355e-05,0.07397114189426757,2.8383192397934338e-05,0.002546834614085305,0.0008564075093371471,0.13700700472647986,8.86459786818788,0.3876644550013192,0.983608774345345,0.9596648034524522,0.03222841107182768,0.01662824601642417
1,0.06133377748868511,0.40836847698537476,0.15285597231860343,0.6084246289490861,0.1666307240846988,4.912280644285239,1.645636977814559,0.30924578528413627,0.5112505144701401,12.444759861815545,51.5468363904181,5.071533766333159e-05,0.10257369173239118,3.160742026850808e-05,0.003306620376668753,0.0008503265265329209,0.10382868536718172,9.081441943517211,0.29992424209724755,0.8105172805272934,0.9796042476442426,0.03556253181469706,0.01838577662728375
2,0.06930609129915002,0.445890220628232,0.1270362604579735,0.5596918621574097,0.14062528688808276,6.070012366816925,2.0307790837019835,0.4991060648037726,0.48818679435673484,12.525829013533837,51.60879300462923,5.2529327907478634e-05,0.10787030881747475,2.3263887590080228e-05,0.0031355972640298327,0.0009438636248698143,0.10175997664649933,11.801757552444968,0.2896456882256801,0.8320610505145554,0.9855468410878556,0.028080262020399902,0.021904409114977555
3,0.06788954202313527,0.3944137255927627,0.16262952777831968,0.6491663973551912,0.11487741269279278,4.5383051728576245,2.224448299591398,0.6102245817829699,0.6210598713961284,13.50347187329837,52.102930294796835,4.428509262405986e-05,0.09384837019357715,3.175997266468212e-05,0.0028558594288958863,0.0009980521299236432,0.13222834169727354,10.522494264354691,0.371616861323213,0.8859175580801246,0.8354845693037365,0.029583428894284912,0.023412719383450048
4,0.07589312611275631,0.3666086645508817,0.1507424909207396,0.6034999711450103,0.122736219549753,5.4287950425765565,2.295718925461174,0.45293640355295495,0.5353363900387038,15.122234920093138,50.06007817581549,4.785167239862355e-05,0.08064701105837692,2.6820892046291825e-05,0.0031799232206794984,0.0009322035747518801,0.11187153830247913,10.407471705601886,0.38217613300784625,0.850168095221231,0.9252630190058255,0.030470776103144137,0.022537511218852557
5,0.0789020538072063,0.42661031202773425,0.172707866246882,0.7896227126474868,0.14965529959598928,5.520909429494013,1.621518428179836,0.32762290312896125,0.4895149295317309,13.129687519021882,52.3941728246666,4.091462917858887e-05,0.1072371369993427,2.8876075204768468e-05,0.0032722634781686567,0.0007405839140991128,0.13438905492847214,9.374752221837985,0.28098609339021857,0.9882845447120001,0.9116338236369641,0.03518757532208892,0.01745061457933542
6,0.07862916189291691,0.3551272325543733,0.14688895896836196,0.7347057918214049,0.12611184131895198,4.67270473806489,2.282356292036429,0.4268706101870543,0.5198428493557167,12.354860060561673,50.56153464563464,5.2327112579014174e-05,0.0825357755257242,2.9375365103635227e-05,0.00345048474161156,0.0009658560481400891,0.14051762446653493,10.934490217267772,0.27480850590600303,0.822031649232159,0.8435480876400226,0.029997617463131017,0.02057562614626823
7,0.07212502072776884,0.30516601953731337,0.1721912562631997,0.6100419913733302,0.13128779458215,5.508517864633464,1.9448714518252848,0.25813262479860233,0.5932183767026759,12.471726728992849,53.700187608581736,5.379732333252773e-05,0.07299105520830221,2.5940729564266176e-05,0.002864575607544318,0.0010720886266669847,0.1341570686653967,10.962100362499289,0.3415994684878473,0.9945346264901365,0.9978157955109633,0.030467234381352987,0.01691997535997519
8,0.07225458993232844,0.4488452652548476,0.1337119649230068,0.6286744173601804,0.14517405449304976,5.802193975101865,1.741065521067835,0.45627888001628103,0.710347372320761,14.774874784072011,52.01247889347498,5.125174952424531e-05,0.0774991257208791,2.5515162009963383e-05,0.0033187889946721077,0.0010452081467291524,0.1364541355654483,11.30195024048181,0.3688059930960091,0.9901468884398924,0.9824437867617775,0.030926310085758333,0.0218200105981814
9,0.07139720878676092,0.3079597491369339,0.12761876595436092,0.5853800736145992,0.14447118430407832,6.128404625738148,1.9976366719515042,0.479763496155195,0.6032407803912224,13.21925411409459,51.780315565643434,4.959557465477851e-05,0.10628891844942102,2.5094340139056647e-05,0.0030250314164438703,0.0009945165447705533,0.12208254101253324,9.932236557425353,0.3181272684324087,0.8655929273563631,0.9461780639051066,0.030022305606362258,0.017255694860586583
10,0.06745245476473419,0.39325314582854953,0.13028763350648062,0.6220292262605145,0.1591278970263058,5.187746578380395,2.1888926410161154,0.40805742433761394,0.6519307556828203,16.08003040455466,51.58259899929135,4.850852853735011e-05,0.10416036508238724,3.238390334368579e-05,0.0033094988723773146,0.0009281866780793779,0.1087410273999999,10.046196518908516,0.38404138396016324,0.9754925894309134,0.8970828733890078,0.03199428096701812,0.023003606867641413
11,0.07121107249843761,0.42684866577355685,0.15218508955095705,0.6709376698274223,0.13949820130295754,6.134672201797728,1.8980392346276505,0.38361782564748703,0.5455256456264128,14.533631413220688,51.30149883452511,4.350502198725805e-05,0.09107917617732647,2.4129899152002537e-05,0.0035974019192001735,0.0007753149508228971,0.10650812922070382,8.891604101506767,0.35216000045170814,0.9026032189213563,0.8482740755101699,0.035747993997366403,0.016382309665163877
12,0.06820206075979884,0.3622718182566886,0.18039239836591392,0.6300542122546494,0.15779807889062386,4.955466221975461,1.9753763723792845,0.3923617985975778,0.716018745882216,12.27762161444887,50.703301268707094,5.299593572017955e-05,0.09701937348678875,2.3726640404330005e-05,0.002681670973847314,0.0010050401860338947,0.14017398779821527,11.666379143114415,0.3763325679683153,0.9114870219055674,0.9287300804884008,0.029886101896167503,0.019419290138347582
13,0.0735530637777155,0.3861921606722899,0.12838016020075618,0.6821864351137118,0.15268690630482507,6.013672978757478,1.9811879644153536,0.2868950597473022,0.5825718996795193,12.867646543055285,50.892847653335714,4.403576996202137e-05,0.09234459378263492,2.3875000804361898e-05,0.003435348273856647,0.0007814959532460472,0.1368104180593843,11.62417867704385,0.3001231956360664,0.9586980115473053,0.8195767164116936,0.03388466512508472,0.0162026607282967
