age_group,outcome,parameter,spearman_rho,association_share,association_allocated_variance,screening_importance_share,screening_allocated_parameter_variance,sensitivity_rank
11_to_14,outbreak_indicator,gamma,0.0,0.0,0.0,0.0,0.0,1
11_to_14,outbreak_indicator,local_mixing,0.0,0.0,0.0,0.0,0.0,2
11_to_14,outbreak_indicator,contact_scale,0.0,0.0,0.0,0.0,0.0,3
11_to_14,outbreak_indicator,sick_contact_multiplier,0.0,0.0,0.0,0.0,0.0,4
11_to_14,outbreak_indicator,sick_mobility_multiplier,0.0,0.0,0.0,0.0,0.0,5
11_to_14,outbreak_indicator,seed_infections_per_week,0.0,0.0,0.0,0.0,0.0,6
11_to_14,outbreak_indicator,initial_exposed_per_case,0.0,0.0,0.0,0.0,0.0,7
11_to_14,outbreak_indicator,initial_infectious_per_case,0.0,0.0,0.0,0.0,0.0,8
11_to_14,outbreak_indicator,seasonal_amplitude,0.0,0.0,0.0,0.0,0.0,9
11_to_14,outbreak_indicator,seasonal_peak_week,0.0,0.0,0.0,0.0,0.0,10
11_to_14,outbreak_indicator,seasonal_period_weeks,0.0,0.0,0.0,0.0,0.0,11
11_to_14,outbreak_indicator,beta_0,0.0,0.0,0.0,0.0,0.0,12
11_to_14,outbreak_indicator,sigma,0.0,0.0,0.0,0.0,0.0,13
11_to_14,outbreak_indicator,eta,0.0,0.0,0.0,0.0,0.0,14
11_to_14,outbreak_indicator,nu,0.0,0.0,0.0,0.0,0.0,15
11_to_14,outbreak_indicator,delta,0.0,0.0,0.0,0.0,0.0,16
11_to_14,outbreak_indicator,phi,0.0,0.0,0.0,0.0,0.0,17
11_to_14,outbreak_indicator,mu,0.0,0.0,0.0,0.0,0.0,18
11_to_14,outbreak_indicator,psi,0.0,0.0,0.0,0.0,0.0,19
11_to_14,outbreak_indicator,reporting_rate,0.0,0.0,0.0,0.0,0.0,20
11_to_14,outbreak_indicator,sh_noise_multiplier,0.0,0.0,0.0,0.0,0.0,21
11_to_14,outbreak_indicator,noise_scale,0.0,0.0,0.0,0.0,0.0,22
11_to_14,outbreak_indicator,dt,0.0,0.0,0.0,0.0,0.0,23
11_to_14,peak_weekly_cases,mu,0.4921555116658166,0.19759760572643323,0.037846508867230996,0.19759760572643323,0.037846508867230996,1
11_to_14,peak_weekly_cases,contact_scale,0.48116492846295844,0.18887083524610396,0.03617504227657135,0.18887083524610396,0.03617504227657135,2
11_to_14,peak_weekly_cases,seasonal_period_weeks,0.44282235753916266,0.1599690814800636,0.030639395849259156,0.1599690814800636,0.030639395849259156,3
11_to_14,peak_weekly_cases,local_mixing,0.3442361680907703,0.0966696105734227,0.0185154433441062,0.0966696105734227,0.0185154433441062,4
11_to_14,peak_weekly_cases,sigma,0.3368337627937659,0.09255677319076752,0.01772769829071907,0.09255677319076752,0.01772769829071907,5
11_to_14,peak_weekly_cases,gamma,0.28312268825566367,0.06539225565134922,0.01252479033973413,0.06539225565134922,0.01252479033973413,6
11_to_14,peak_weekly_cases,sick_contact_multiplier,0.2631273236574932,0.05648184420063471,0.01081815039973899,0.05648184420063471,0.01081815039973899,7
11_to_14,peak_weekly_cases,reporting_rate,0.24895487934513794,0.05056130292178,0.009684169969231137,0.05056130292178,0.009684169969231137,8
11_to_14,peak_weekly_cases,noise_scale,0.15170781849318854,0.01877555997059472,0.0035961437604569253,0.01877555997059472,0.0035961437604569253,9
11_to_14,peak_weekly_cases,initial_exposed_per_case,0.15103253142318734,0.018608783140720637,0.003564200454527314,0.018608783140720637,0.003564200454527314,10
11_to_14,peak_weekly_cases,sick_mobility_multiplier,0.13238201819323955,0.014296672447188704,0.0027382879390427887,0.014296672447188704,0.0027382879390427887,11
11_to_14,peak_weekly_cases,phi,-0.08650255683561708,0.006104285824878885,0.0011691736180206467,0.006104285824878885,0.0011691736180206467,12
11_to_14,peak_weekly_cases,delta,-0.08526643813120814,0.005931072250288031,0.0011359974615455857,0.005931072250288031,0.0011359974615455857,13
11_to_14,peak_weekly_cases,seed_infections_per_week,0.08415622040595197,0.005777625879661945,0.001106607381614229,0.005777625879661945,0.001106607381614229,14
11_to_14,peak_weekly_cases,sh_noise_multiplier,-0.08119182462408239,0.00537776195638924,0.00103002015039657,0.00537776195638924,0.00103002015039657,15
11_to_14,peak_weekly_cases,initial_infectious_per_case,0.06767177629460963,0.0037358731735248362,0.0007155438785245564,0.0037358731735248362,0.0007155438785245564,16
11_to_14,peak_weekly_cases,psi,0.0630334697671863,0.003241301274353844,0.0006208169222001342,0.003241301274353844,0.0006208169222001342,17
11_to_14,peak_weekly_cases,seasonal_amplitude,-0.06117356893879322,0.003052843973305455,0.0005847210854666825,0.003052843973305455,0.0005847210854666825,18
11_to_14,peak_weekly_cases,dt,-0.05182828262259046,0.002191344248902018,0.0004197152553662316,0.002191344248902018,0.0004197152553662316,19
