level_id,parameter,parameter_value,age_group,outcome,conditional_mean,conditional_variance,simulations,baseline_value,is_baseline
beta_0:0,beta_0,3.728e-05,11_to_14,cumulative_cases,7.133333333333334,8.00888888888889,300,4.66e-05,False
beta_0:0,beta_0,3.728e-05,11_to_14,final_week_cases,1.25,1.3341666666666667,300,4.66e-05,False
beta_0:0,beta_0,3.728e-05,11_to_14,outbreak_indicator,0.0,0.0,300,4.66e-05,False
beta_0:0,beta_0,3.728e-05,11_to_14,peak_weekly_cases,2.6733333333333333,1.0266222222222223,300,4.66e-05,False
beta_0:0,beta_0,3.728e-05,15_to_24,cumulative_cases,10.67,11.487766666666666,300,4.66e-05,False
beta_0:0,beta_0,3.728e-05,15_to_24,final_week_cases,1.9366666666666668,2.0126555555555554,300,4.66e-05,False
beta_0:0,beta_0,3.728e-05,15_to_24,outbreak_indicator,0.0,0.0,300,4.66e-05,False
beta_0:0,beta_0,3.728e-05,15_to_24,peak_weekly_cases,3.53,1.3357666666666668,300,4.66e-05,False
beta_0:0,beta_0,3.728e-05,1_to_4,cumulative_cases,15.046666666666667,15.751155555555554,300,4.66e-05,False
beta_0:0,beta_0,3.728e-05,1_to_4,final_week_cases,2.1533333333333333,2.069822222222222,300,4.66e-05,False
beta_0:0,beta_0,3.728e-05,1_to_4,outbreak_indicator,0.0,0.0,300,4.66e-05,False
beta_0:0,beta_0,3.728e-05,1_to_4,peak_weekly_cases,4.82,2.0476,300,4.66e-05,False
beta_0:0,beta_0,3.728e-05,25_to_34,cumulative_cases,16.253333333333334,19.955822222222224,300,4.66e-05,False
beta_0:0,beta_0,3.728e-05,25_to_34,final_week_cases,2.88,3.252266666666667,300,4.66e-05,False
beta_0:0,beta_0,3.728e-05,25_to_34,outbreak_indicator,0.0,0.0,300,4.66e-05,False
beta_0:0,beta_0,3.728e-05,25_to_34,peak_weekly_cases,4.956666666666667,1.9414555555555557,300,4.66e-05,False
beta_0:0,beta_0,3.728e-05,35_and_over,cumulative_cases,27.973333333333333,41.245955555555554,300,4.66e-05,False
beta_0:0,beta_0,3.728e-05,35_and_over,final_week_cases,5.03,5.835766666666666,300,4.66e-05,False
beta_0:0,beta_0,3.728e-05,35_and_over,outbreak_indicator,0.0,0.0,300,4.66e-05,False
beta_0:0,beta_0,3.728e-05,35_and_over,peak_weekly_cases,7.52,3.856266666666667,300,4.66e-05,False
beta_0:0,beta_0,3.728e-05,5_to_10,cumulative_cases,40.17333333333333,51.28328888888889,300,4.66e-05,False
beta_0:0,beta_0,3.728e-05,5_to_10,final_week_cases,6.99,7.496566666666667,300,4.66e-05,False
beta_0:0,beta_0,3.728e-05,5_to_10,outbreak_indicator,0.0033333333333333335,0.0033222222222222216,300,4.66e-05,False
beta_0:0,beta_0,3.728e-05,5_to_10,peak_weekly_cases,10.12,3.8855999999999993,300,4.66e-05,False
beta_0:0,beta_0,3.728e-05,all ages combined,cumulative_cases,130.98333333333332,206.5297222222222,300,4.66e-05,False
beta_0:0,beta_0,3.728e-05,all ages combined,final_week_cases,22.426666666666666,26.871288888888888,300,4.66e-05,False
beta_0:0,beta_0,3.728e-05,all ages combined,outbreak_indicator,1.0,0.0,300,4.66e-05,False
beta_0:0,beta_0,3.728e-05,all ages combined,peak_weekly_cases,28.04,13.685066666666668,300,4.66e-05,False
beta_0:0,beta_0,3.728e-05,under_1,cumulative_cases,13.733333333333333,15.675555555555553,300,4.66e-05,False
beta_0:0,beta_0,3.728e-05,under_1,final_week_cases,2.1866666666666665,2.4051555555555555,300,4.66e-05,False
beta_0:0,beta_0,3.728e-05,under_1,outbreak_indicator,0.0,0.0,300,4.66e-05,False
beta_0:0,beta_0,3.728e-05,under_1,peak_weekly_cases,4.333333333333333,1.8488888888888892,300,4.66e-05,False
beta_0:1,beta_0,4.038666666666667e-05,11_to_14,cumulative_cases,7.126666666666667,7.997288888888888,300,4.66e-05,False
beta_0:1,beta_0,4.038666666666667e-05,11_to_14,final_week_cases,1.2466666666666666,1.3324888888888888,300,4.66e-05,False
beta_0:1,beta_0,4.038666666666667e-05,11_to_14,outbreak_indicator,0.0,0.0,300,4.66e-05,False
beta_0:1,beta_0,4.038666666666667e-05,11_to_14,peak_weekly_cases,2.6733333333333333,1.0266222222222223,300,4.66e-05,False
beta_0:1,beta_0,4.038666666666667e-05,15_to_24,cumulative_cases,10.69,11.587233333333334,300,4.66e-05,False
beta_0:1,beta_0,4.038666666666667e-05,15_to_24,final_week_cases,1.95,2.0941666666666667,300,4.66e-05,False
beta_0:1,beta_0,4.038666666666667e-05,15_to_24,outbreak_indicator,0.0,0.0,300,4.66e-05,False
beta_0:1,beta_0,4.038666666666667e-05,15_to_24,peak_weekly_cases,3.5433333333333334,1.3747888888888888,300,4.66e-05,False
beta_0:1,beta_0,4.038666666666667e-05,1_to_4,cumulative_cases,15.04,15.725066666666669,300,4.66e-05,False
beta_0:1,beta_0,4.038666666666667e-05,1_to_4,final_week_cases,2.1633333333333336,2.056655555555556,300,4.66e-05,False
beta_0:1,beta_0,4.038666666666667e-05,1_to_4,outbreak_indicator,0.0,0.0,300,4.66e-05,False
beta_0:1,beta_0,4.038666666666667e-05,1_to_4,peak_weekly_cases,4.82,2.0476,300,4.66e-05,False
beta_0:1,beta_0,4.038666666666667e-05,25_to_34,cumulative_cases,16.233333333333334,20.025555555555556,300,4.66e-05,False
beta_0:1,beta_0,4.038666666666667e-05,25_to_34,final_week_cases,2.8666666666666667,3.2488888888888883,300,4.66e-05,False
beta_0:1,beta_0,4.038666666666667e-05,25_to_34,outbreak_indicator,0.0,0.0,300,4.66e-05,False
beta_0:1,beta_0,4.038666666666667e-05,25_to_34,peak_weekly_cases,4.95,1.9541666666666666,300,4.66e-05,False
beta_0:1,beta_0,4.038666666666667e-05,35_and_over,cumulative_cases,27.996666666666666,40.669988888888895,300,4.66e-05,False
beta_0:1,beta_0,4.038666666666667e-05,35_and_over,final_week_cases,5.046666666666667,5.757822222222221,300,4.66e-05,False
beta_0:1,beta_0,4.038666666666667e-05,35_and_over,outbreak_indicator,0.0,0.0,300,4.66e-05,False
beta_0:1,beta_0,4.038666666666667e-05,35_and_over,peak_weekly_cases,7.526666666666666,3.8359555555555547,300,4.66e-05,False
beta_0:1,beta_0,4.038666666666667e-05,5_to_10,cumulative_cases,40.19,50.8939,300,4.66e-05,False
beta_0:1,beta_0,4.038666666666667e-05,5_to_10,final_week_cases,6.993333333333333,7.459955555555555,300,4.66e-05,False
beta_0:1,beta_0,4.038666666666667e-05,5_to_10,outbreak_indicator,0.0033333333333333335,0.0033222222222222216,300,4.66e-05,False
beta_0:1,beta_0,4.038666666666667e-05,5_to_10,peak_weekly_cases,10.12,3.8855999999999993,300,4.66e-05,False
beta_0:1,beta_0,4.038666666666667e-05,all ages combined,cumulative_cases,131.01333333333332,204.9864888888889,300,4.66e-05,False
beta_0:1,beta_0,4.038666666666667e-05,all ages combined,final_week_cases,22.456666666666667,26.374788888888887,300,4.66e-05,False
beta_0:1,beta_0,4.038666666666667e-05,all ages combined,outbreak_indicator,1.0,0.0,300,4.66e-05,False
beta_0:1,beta_0,4.038666666666667e-05,all ages combined,peak_weekly_cases,28.04,13.685066666666666,300,4.66e-05,False
beta_0:1,beta_0,4.038666666666667e-05,under_1,cumulative_cases,13.736666666666666,15.620655555555556,300,4.66e-05,False
beta_0:1,beta_0,4.038666666666667e-05,under_1,final_week_cases,2.19,2.4005666666666663,300,4.66e-05,False
beta_0:1,beta_0,4.038666666666667e-05,under_1,outbreak_indicator,0.0,0.0,300,4.66e-05,False
beta_0:1,beta_0,4.038666666666667e-05,under_1,peak_weekly_cases,4.333333333333333,1.8488888888888892,300,4.66e-05,False
beta_0:2,beta_0,4.349333333333333e-05,11_to_14,cumulative_cases,7.13,8.006433333333334,300,4.66e-05,False
beta_0:2,beta_0,4.349333333333333e-05,11_to_14,final_week_cases,1.2433333333333334,1.3374555555555556,300,4.66e-05,False
beta_0:2,beta_0,4.349333333333333e-05,11_to_14,outbreak_indicator,0.0,0.0,300,4.66e-05,False
beta_0:2,beta_0,4.349333333333333e-05,11_to_14,peak_weekly_cases,2.6766666666666667,1.0254555555555556,300,4.66e-05,False
beta_0:2,beta_0,4.349333333333333e-05,15_to_24,cumulative_cases,10.67,11.761099999999999,300,4.66e-05,False
beta_0:2,beta_0,4.349333333333333e-05,15_to_24,final_week_cases,1.9466666666666668,2.0971555555555557,300,4.66e-05,False
beta_0:2,beta_0,4.349333333333333e-05,15_to_24,outbreak_indicator,0.0,0.0,300,4.66e-05,False
beta_0:2,beta_0,4.349333333333333e-05,15_to_24,peak_weekly_cases,3.5366666666666666,1.381988888888889,300,4.66e-05,False
beta_0:2,beta_0,4.349333333333333e-05,1_to_4,cumulative_cases,15.036666666666667,15.748655555555555,300,4.66e-05,False
beta_0:2,beta_0,4.349333333333333e-05,1_to_4,final_week_cases,2.1666666666666665,2.0855555555555556,300,4.66e-05,False
beta_0:2,beta_0,4.349333333333333e-05,1_to_4,outbreak_indicator,0.0,0.0,300,4.66e-05,False
beta_0:2,beta_0,4.349333333333333e-05,1_to_4,peak_weekly_cases,4.823333333333333,2.045455555555556,300,4.66e-05,False
beta_0:2,beta_0,4.349333333333333e-05,25_to_34,cumulative_cases,16.256666666666668,19.970788888888887,300,4.66e-05,False
beta_0:2,beta_0,4.349333333333333e-05,25_to_34,final_week_cases,2.87,3.2731,300,4.66e-05,False
beta_0:2,beta_0,4.349333333333333e-05,25_to_34,outbreak_indicator,0.0,0.0,300,4.66e-05,False
beta_0:2,beta_0,4.349333333333333e-05,25_to_34,peak_weekly_cases,4.953333333333333,1.964488888888889,300,4.66e-05,False
beta_0:2,beta_0,4.349333333333333e-05,35_and_over,cumulative_cases,28.023333333333333,40.55612222222222,300,4.66e-05,False
beta_0:2,beta_0,4.349333333333333e-05,35_and_over,final_week_cases,5.05,5.760833333333333,300,4.66e-05,False
beta_0:2,beta_0,4.349333333333333e-05,35_and_over,outbreak_indicator,0.0,0.0,300,4.66e-05,False
beta_0:2,beta_0,4.349333333333333e-05,35_and_over,peak_weekly_cases,7.533333333333333,3.8488888888888884,300,4.66e-05,False
