parameter,age_group,outcome,baseline_parameter_value,tested_lower,tested_upper,baseline_outcome_mean,minimum_level_mean,maximum_level_mean,low_level_outcome_mean,high_level_outcome_mean,low_to_high_outcome_change,outcome_mean_spread,relative_outcome_spread,outbreak_probability_spread_percentage_points,outbreak_probability_low_to_high_change_percentage_points,raw_variance_across_level_means,monte_carlo_variance_of_level_mean,noise_adjusted_parameter_variance,mean_within_level_stochastic_variance,oat_total_predictive_variance,oat_parameter_variance_fraction,oat_stochastic_variance_fraction,parameter_signal_to_mc_noise,isolated_variance_screening_share,relative_parameter_variance_share_percent,sensitivity_rank
beta_0,11_to_14,cumulative_cases,4.66e-05,3.728e-05,5.592e-05,7.16,7.126666666666667,7.166666666666667,7.133333333333334,7.163333333333333,0.02999999999999936,0.040000000000000036,0.005586592178770954,,,0.0002662131519274363,0.026950931216931224,0.0,8.085279365079368,8.085279365079368,0.0,1.0,0.0,0.0,0.0,13.0
beta_0,11_to_14,final_week_cases,4.66e-05,3.728e-05,5.592e-05,1.2666666666666666,1.2433333333333334,1.2766666666666666,1.25,1.2766666666666666,0.026666666666666616,0.033333333333333215,0.02631578947368412,,,0.00014603174603174557,0.0045995767195767204,0.0,1.3798730158730161,1.3798730158730161,0.0,1.0,0.0,0.0,0.0,12.0
beta_0,11_to_14,outbreak_indicator,4.66e-05,3.728e-05,5.592e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
beta_0,11_to_14,peak_weekly_cases,4.66e-05,3.728e-05,5.592e-05,2.6933333333333334,2.6733333333333333,2.6933333333333334,2.6733333333333333,2.69,0.016666666666666607,0.020000000000000018,0.007425742574257432,,,8.20861678004534e-05,0.0034494285714285716,0.0,1.0348285714285714,1.0348285714285714,0.0,1.0,0.0,0.0,0.0,12.0
beta_0,15_to_24,cumulative_cases,4.66e-05,3.728e-05,5.592e-05,10.686666666666667,10.67,10.693333333333333,10.67,10.693333333333333,0.023333333333333428,0.023333333333333428,0.0021834061135371265,,,7.437641723356133e-05,0.0389946455026455,0.0,11.698393650793651,11.698393650793651,0.0,1.0,0.0,0.0,0.0,13.0
beta_0,15_to_24,final_week_cases,4.66e-05,3.728e-05,5.592e-05,1.9466666666666668,1.9366666666666668,1.95,1.9366666666666668,1.94,0.0033333333333331883,0.013333333333333197,0.00684931506849308,,,1.904761904761908e-05,0.006993994708994709,0.0,2.098198412698413,2.098198412698413,0.0,1.0,0.0,0.0,0.0,11.0
beta_0,15_to_24,outbreak_indicator,4.66e-05,3.728e-05,5.592e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
beta_0,15_to_24,peak_weekly_cases,4.66e-05,3.728e-05,5.592e-05,3.5366666666666666,3.53,3.5433333333333334,3.53,3.5433333333333334,0.013333333333333641,0.013333333333333641,0.003770028275212151,,,2.1768707482994202e-05,0.004599730158730159,0.0,1.3799190476190477,1.3799190476190477,0.0,1.0,0.0,0.0,0.0,12.0
beta_0,1_to_4,cumulative_cases,4.66e-05,3.728e-05,5.592e-05,15.04,15.033333333333333,15.053333333333333,15.046666666666667,15.053333333333333,0.0066666666666659324,0.019999999999999574,0.001329787234042525,,,3.764172335600827e-05,0.052656058201058197,0.0,15.79681746031746,15.79681746031746,0.0,1.0,0.0,0.0,0.0,13.0
beta_0,1_to_4,final_week_cases,4.66e-05,3.728e-05,5.592e-05,2.19,2.1533333333333333,2.203333333333333,2.1533333333333333,2.203333333333333,0.04999999999999982,0.04999999999999982,0.02283105022831042,,,0.00027256235827664165,0.006926132275132277,0.0,2.077839682539683,2.077839682539683,0.0,1.0,0.0,0.0,0.0,14.0
