parameter,tested_lower,tested_upper,baseline_outcome_mean,low_level_outcome_mean,high_level_outcome_mean,absolute_effect,noise_adjusted_parameter_variance,relative_parameter_variance_share_percent,parameter_vs_stochastic_percent
contact_scale,0.12643658673651312,0.1896548801047697,28.093333333333334,24.783333333333335,31.98,7.196666666666665,5.7105381194255465,19.42938985213042,29.19743717509387
sigma,0.072,0.108,28.093333333333334,24.946666666666665,31.963333333333335,7.016666666666669,5.25601409070295,17.882928841534692,27.27656818266235
local_mixing,0.30268526552295555,0.4540278982844333,28.093333333333334,25.29,31.42,6.130000000000003,4.209076217687079,14.320854014192184,24.124138011723943
seasonal_period_weeks,50.0,54.0,28.093333333333334,24.606666666666666,30.416666666666668,5.810000000000002,3.3860655717592616,11.520663496631325,20.182572527414393
reporting_rate,0.8,1.0,28.093333333333334,22.8,28.093333333333334,5.293333333333333,3.178184953892666,10.813375762487254,21.576006335245413
gamma,0.05555555555555555,0.07949072400223103,28.093333333333334,25.2,30.38,5.18,2.507836175925924,8.532598106926267,15.727728825697152
sick_contact_multiplier,0.5299687986149609,0.7949531979224415,28.093333333333334,26.186666666666667,30.106666666666666,3.919999999999998,1.7575879803476935,5.979972702297466,11.54924959558924
seasonal_peak_week,10.747186192422555,16.120779288633834,28.093333333333334,26.27,29.75,3.4800000000000004,1.417159699924415,4.82170816772859,9.70874597430069
phi,0.096,0.144,28.093333333333334,29.776666666666667,26.82,2.956666666666667,0.8870900423280422,3.018212628281734,6.33589142913146
seasonal_amplitude,0.48,0.72,28.093333333333334,27.023333333333333,29.12,2.0966666666666676,0.4032356523053667,1.3719587413781607,2.9498831181772442
seed_infections_per_week,4.175599416388989,6.263399124583485,28.093333333333334,26.68,28.613333333333333,1.9333333333333336,0.3947082494331067,1.3429453224382337,2.854339685694478
psi,0.26666666666666666,0.39999999999999997,28.093333333333334,29.143333333333334,27.44333333333333,1.7000000000000028,0.2837407626606204,0.9653923639736736,2.1275973543125946
nu,0.0024000000000000002,0.0036,28.093333333333334,28.16,27.993333333333332,0.16666666666666785,0.0,0.0,0.0
noise_scale,0.024,0.036,28.093333333333334,28.0,28.166666666666668,0.173333333333332,0.0,0.0,0.0
initial_infectious_per_case,0.230501259239065,0.6305012592390651,28.093333333333334,28.093333333333334,28.093333333333334,0.0,0.0,0.0,0.0
initial_exposed_per_case,1.600653493991914,2.4009802409878707,28.093333333333334,28.093333333333334,28.093333333333334,0.0,0.0,0.0,0.0
eta,2.16e-05,3.24e-05,28.093333333333334,28.093333333333334,28.083333333333332,0.010000000000001563,0.0,0.0,0.0
sh_noise_multiplier,0.8,1.0,28.093333333333334,28.063333333333333,28.093333333333334,0.06666666666666643,0.0,0.0,0.0
delta,0.0007199999999999999,0.00108,28.093333333333334,27.88,28.33,0.4499999999999993,0.0,0.0,0.0
sick_mobility_multiplier,0.11142621730804161,0.1671393259620624,28.093333333333334,28.063333333333333,28.186666666666667,0.163333333333334,0.0,0.0,0.0
beta_0,3.728e-05,5.592e-05,28.093333333333334,28.04,28.106666666666666,0.06666666666666643,0.0,0.0,0.0
