model,target_date,observed_cases,p10_cases,median_cases,p90_cases,stochastic_predictions,contributing_origins
non-seasonal,2024-01-29,8.0,7.0,10.0,14.100000000000009,100,1
non-seasonal,2024-02-05,16.0,6.0,10.0,15.0,200,2
non-seasonal,2024-02-12,12.0,8.0,12.0,18.0,300,3
non-seasonal,2024-02-19,14.0,8.0,13.0,18.0,400,4
non-seasonal,2024-02-26,28.0,9.0,14.0,19.0,500,5
non-seasonal,2024-03-04,27.0,10.0,16.0,23.0,600,6
non-seasonal,2024-03-11,33.0,11.0,18.0,27.0,600,6
non-seasonal,2024-03-18,36.0,14.0,22.0,31.0,600,6
non-seasonal,2024-03-25,29.0,15.0,25.0,36.0,600,6
non-seasonal,2024-04-01,39.0,20.0,29.0,37.0,600,6
non-seasonal,2024-04-08,58.0,23.0,31.0,40.0,600,6
non-seasonal,2024-04-15,42.0,25.0,34.0,47.0,600,6
non-seasonal,2024-04-22,40.0,27.0,38.0,49.0,600,6
non-seasonal,2024-04-29,34.0,28.0,39.0,50.0,600,6
non-seasonal,2024-05-06,44.0,27.0,38.0,50.0,600,6
non-seasonal,2024-05-13,58.0,32.0,40.0,54.0,600,6
non-seasonal,2024-05-20,57.0,32.0,43.0,58.0,600,6
non-seasonal,2024-05-27,42.0,32.0,43.5,57.0,600,6
non-seasonal,2024-06-03,38.0,33.0,44.0,56.0,600,6
non-seasonal,2024-06-10,32.0,32.0,43.0,57.0,600,6
non-seasonal,2024-06-17,49.0,30.0,43.0,59.0,600,6
non-seasonal,2024-06-24,53.0,29.0,43.0,62.0,600,6
non-seasonal,2024-07-01,47.0,30.0,41.0,58.0,600,6
non-seasonal,2024-07-08,65.0,30.900000000000006,42.0,53.0,600,6
non-seasonal,2024-07-15,65.0,30.0,44.0,59.0,600,6
non-seasonal,2024-07-22,40.0,32.0,49.0,64.0,600,6
non-seasonal,2024-07-29,48.0,37.0,50.0,65.0,600,6
non-seasonal,2024-08-05,38.0,36.900000000000006,50.0,67.0,600,6
non-seasonal,2024-08-12,29.0,35.0,46.0,66.0,600,6
non-seasonal,2024-08-19,21.0,29.0,45.0,67.0,600,6
non-seasonal,2024-08-26,17.0,22.900000000000006,39.0,65.0,600,6
non-seasonal,2024-09-02,16.0,18.0,33.0,51.0,600,6
non-seasonal,2024-09-09,15.0,15.0,26.5,50.0,600,6
non-seasonal,2024-09-16,11.0,14.0,22.0,39.0,600,6
non-seasonal,2024-09-23,6.0,11.0,19.0,31.0,600,6
non-seasonal,2024-09-30,7.0,9.0,17.0,27.0,600,6
non-seasonal,2024-10-07,6.0,7.900000000000006,14.0,24.0,600,6
non-seasonal,2024-10-14,5.0,6.0,13.0,22.0,600,6
non-seasonal,2024-10-21,5.0,6.0,11.0,20.0,600,6
non-seasonal,2024-10-28,6.0,5.0,10.0,17.0,600,6
non-seasonal,2024-11-04,5.0,5.0,10.0,16.0,600,6
non-seasonal,2024-11-11,1.0,5.0,9.0,15.0,600,6
non-seasonal,2024-11-18,4.0,5.0,9.0,15.0,600,6
non-seasonal,2024-11-25,5.0,5.0,9.0,14.0,600,6
non-seasonal,2024-12-02,3.0,4.0,8.5,14.0,600,6
non-seasonal,2024-12-09,4.0,4.0,8.0,14.0,600,6
non-seasonal,2024-12-16,2.0,4.0,8.0,14.0,600,6
non-seasonal,2024-12-23,4.0,4.0,8.0,13.0,600,6
non-seasonal,2024-12-30,4.0,4.0,8.0,13.0,600,6
non-seasonal,2025-01-06,2.0,4.0,8.0,13.0,600,6
non-seasonal,2025-01-13,5.0,4.0,8.0,13.0,600,6
non-seasonal,2025-01-20,4.0,4.0,8.0,13.0,600,6
non-seasonal,2025-01-27,2.0,4.0,8.0,13.0,600,6
non-seasonal,2025-02-03,5.0,4.0,8.0,13.0,600,6
non-seasonal,2025-02-10,3.0,5.0,8.0,13.0,600,6
non-seasonal,2025-02-17,5.0,4.0,8.0,13.0,600,6
non-seasonal,2025-02-24,4.0,4.0,8.0,13.0,600,6
non-seasonal,2025-03-03,6.0,4.0,8.0,13.0,600,6
non-seasonal,2025-03-10,8.0,5.0,8.0,13.0,600,6
non-seasonal,2025-03-17,10.0,5.0,9.0,14.0,600,6
non-seasonal,2025-03-24,6.0,6.0,10.0,15.0,600,6
non-seasonal,2025-03-31,10.0,6.0,11.0,15.0,600,6
non-seasonal,2025-04-07,12.0,7.0,11.0,17.0,600,6
non-seasonal,2025-04-14,18.0,8.0,13.0,18.0,600,6
non-seasonal,2025-04-21,13.0,9.0,14.0,19.0,600,6
non-seasonal,2025-04-28,14.0,10.0,15.0,21.0,600,6
non-seasonal,2025-05-05,12.0,10.0,16.0,22.0,600,6
non-seasonal,2025-05-12,11.0,11.0,17.0,23.0,600,6
non-seasonal,2025-05-19,19.0,11.0,17.0,25.0,600,6
non-seasonal,2025-05-26,18.0,11.0,18.0,26.0,600,6
non-seasonal,2025-06-02,21.0,12.0,18.0,24.0,600,6
non-seasonal,2025-06-09,16.0,13.0,19.0,26.0,600,6
non-seasonal,2025-06-16,19.0,13.0,19.0,26.0,600,6
non-seasonal,2025-06-23,17.0,14.0,20.0,27.0,600,6
non-seasonal,2025-06-30,22.0,14.0,22.0,29.100000000000023,600,6
non-seasonal,2025-07-07,20.0,16.0,22.0,30.0,600,6
non-seasonal,2025-07-14,30.0,15.900000000000006,23.0,31.0,600,6
non-seasonal,2025-07-21,11.0,16.0,23.0,31.0,600,6
non-seasonal,2025-07-28,15.0,14.0,23.0,32.0,600,6
non-seasonal,2025-08-04,14.0,14.0,22.0,33.0,600,6
non-seasonal,2025-08-11,8.0,13.0,21.0,34.0,600,6
non-seasonal,2025-08-18,3.0,11.0,19.0,34.0,600,6
non-seasonal,2025-08-25,5.0,8.0,17.0,34.10000000000002,600,6
non-seasonal,2025-09-01,5.0,6.0,14.0,25.0,600,6
non-seasonal,2025-09-08,4.0,6.0,12.0,24.0,600,6
non-seasonal,2025-09-15,6.0,5.0,10.0,20.0,600,6
non-seasonal,2025-09-22,3.0,5.0,10.0,16.0,600,6
non-seasonal,2025-09-29,4.0,5.0,9.0,14.0,600,6
non-seasonal,2025-10-06,2.0,5.0,9.0,14.0,600,6
non-seasonal,2025-10-13,1.0,4.0,9.0,14.0,600,6
non-seasonal,2025-10-20,7.0,4.0,8.0,14.0,600,6
non-seasonal,2025-10-27,5.0,4.0,8.0,14.0,600,6
non-seasonal,2025-11-03,6.0,4.0,8.0,13.0,600,6
non-seasonal,2025-11-10,7.0,5.0,8.0,13.0,600,6
non-seasonal,2025-11-17,8.0,5.0,9.0,14.0,600,6
non-seasonal,2025-11-24,12.0,6.0,10.0,14.0,600,6
non-seasonal,2025-12-01,12.0,7.0,11.0,16.0,600,6
non-seasonal,2025-12-08,8.0,7.0,12.0,17.0,600,6
non-seasonal,2025-12-15,6.0,7.0,12.0,18.0,600,6
non-seasonal,2025-12-22,4.0,7.0,12.0,19.0,600,6
non-seasonal,2025-12-29,5.0,6.0,12.5,19.0,600,6
non-seasonal,2026-01-05,5.0,5.0,12.0,20.0,600,6
non-seasonal,2026-01-12,23.0,5.0,11.0,19.0,600,6
non-seasonal,2026-01-19,17.0,6.0,11.0,17.0,600,6
non-seasonal,2026-01-26,22.0,7.0,12.0,18.0,600,6
non-seasonal,2026-02-02,14.0,7.0,13.0,23.0,600,6
non-seasonal,2026-02-09,33.0,9.0,16.0,24.100000000000023,600,6
non-seasonal,2026-02-16,29.0,11.0,19.0,30.0,600,6
non-seasonal,2026-02-23,15.0,16.0,24.0,34.0,600,6
non-seasonal,2026-03-02,18.0,16.0,25.0,36.0,600,6
