model,origin_date,origin_cases,forecast_probability,observed_event,classification,median_mae,median_rmse,p10_p90_coverage,brier_score
non-seasonal,2024-01-22,9.0,0.77,True,DETECTED OUTBREAK,5.75,7.8554651888563125,0.6666666666666666,0.05289999999999999
seasonal,2024-01-22,9.0,0.46,True,DETECTED OUTBREAK,7.666666666666667,9.60902353693305,0.5,0.2916
non-seasonal,2024-01-29,8.0,0.6,True,DETECTED OUTBREAK,10.333333333333334,12.342339054382412,0.3333333333333333,0.16000000000000003
seasonal,2024-01-29,8.0,0.38,True,MISSED OUTBREAK,11.5,13.558515159608493,0.3333333333333333,0.3844
non-seasonal,2024-02-05,16.0,0.98,True,DETECTED OUTBREAK,9.5,11.276819882691514,0.3333333333333333,0.0004000000000000007
seasonal,2024-02-05,16.0,0.97,True,DETECTED OUTBREAK,11.333333333333334,13.662601021279464,0.3333333333333333,0.0009000000000000016
non-seasonal,2024-02-12,12.0,0.97,True,DETECTED OUTBREAK,13.25,14.715354792415528,0.16666666666666666,0.0009000000000000016
seasonal,2024-02-12,12.0,0.94,True,DETECTED OUTBREAK,13.333333333333334,14.52583904633395,0.16666666666666666,0.0036000000000000064
non-seasonal,2024-02-19,14.0,1.0,True,DETECTED OUTBREAK,14.833333333333334,15.157506391224118,0.0,0.0
seasonal,2024-02-19,14.0,0.99,True,DETECTED OUTBREAK,16.25,16.639561292293738,0.0,0.00010000000000000018
non-seasonal,2024-02-26,28.0,1.0,True,DETECTED OUTBREAK,12.666666666666666,15.470401847829724,0.3333333333333333,0.0
seasonal,2024-02-26,28.0,1.0,True,DETECTED OUTBREAK,13.666666666666666,16.237815945091466,0.3333333333333333,0.0
non-seasonal,2024-03-04,27.0,1.0,True,DETECTED OUTBREAK,12.166666666666666,14.591664287073858,0.16666666666666666,0.0
seasonal,2024-03-04,27.0,1.0,True,DETECTED OUTBREAK,13.833333333333334,16.11934655416693,0.16666666666666666,0.0
non-seasonal,2024-03-11,33.0,1.0,True,DETECTED OUTBREAK,8.0,11.647603473104098,0.8333333333333334,0.0
seasonal,2024-03-11,33.0,1.0,True,DETECTED OUTBREAK,9.25,12.20143434191243,0.8333333333333334,0.0
non-seasonal,2024-03-18,36.0,1.0,True,DETECTED OUTBREAK,8.166666666666666,10.66927051551948,0.8333333333333334,0.0
seasonal,2024-03-18,36.0,1.0,True,DETECTED OUTBREAK,7.75,10.702414057896782,0.8333333333333334,0.0
non-seasonal,2024-03-25,29.0,1.0,True,DETECTED OUTBREAK,13.583333333333334,15.600480761822695,0.16666666666666666,0.0
seasonal,2024-03-25,29.0,1.0,True,DETECTED OUTBREAK,15.083333333333334,16.699550892164734,0.16666666666666666,0.0
non-seasonal,2024-04-01,39.0,1.0,True,DETECTED OUTBREAK,9.833333333333334,12.402956636759372,0.6666666666666666,0.0
seasonal,2024-04-01,39.0,1.0,True,DETECTED OUTBREAK,11.0,13.796134724383252,0.6666666666666666,0.0
non-seasonal,2024-04-08,58.0,1.0,True,DETECTED OUTBREAK,5.333333333333333,6.18465843842649,0.8333333333333334,0.0
seasonal,2024-04-08,58.0,1.0,True,DETECTED OUTBREAK,7.5,9.050782654923642,0.6666666666666666,0.0
non-seasonal,2024-04-15,42.0,1.0,True,DETECTED OUTBREAK,7.833333333333333,10.66927051551948,0.6666666666666666,0.0
seasonal,2024-04-15,42.0,1.0,True,DETECTED OUTBREAK,10.583333333333334,13.461364467740012,0.6666666666666666,0.0
non-seasonal,2024-04-22,40.0,1.0,True,DETECTED OUTBREAK,8.75,10.338036564067666,0.6666666666666666,0.0
seasonal,2024-04-22,40.0,1.0,True,DETECTED OUTBREAK,8.75,11.530755974060563,0.6666666666666666,0.0
non-seasonal,2024-04-29,34.0,1.0,True,DETECTED OUTBREAK,12.333333333333334,14.829587542027818,0.5,0.0
seasonal,2024-04-29,34.0,1.0,True,DETECTED OUTBREAK,15.333333333333334,17.473789896108208,0.16666666666666666,0.0
non-seasonal,2024-05-06,44.0,1.0,True,DETECTED OUTBREAK,9.416666666666666,11.26388032606881,0.5,0.0
seasonal,2024-05-06,44.0,1.0,True,DETECTED OUTBREAK,10.916666666666666,13.430376018563292,0.5,0.0
non-seasonal,2024-05-13,58.0,1.0,True,DETECTED OUTBREAK,9.583333333333334,11.197097838279346,0.6666666666666666,0.0
seasonal,2024-05-13,58.0,1.0,True,DETECTED OUTBREAK,8.583333333333334,9.262379104024337,0.5,0.0
non-seasonal,2024-05-20,57.0,1.0,True,DETECTED OUTBREAK,10.833333333333334,12.443204303286727,0.3333333333333333,0.0
seasonal,2024-05-20,57.0,1.0,True,DETECTED OUTBREAK,10.25,10.733514491224826,0.16666666666666666,0.0
non-seasonal,2024-05-27,42.0,1.0,True,DETECTED OUTBREAK,10.416666666666666,11.973930014828047,0.5,0.0
seasonal,2024-05-27,42.0,1.0,True,DETECTED OUTBREAK,17.083333333333332,21.19060326339641,0.3333333333333333,0.0
non-seasonal,2024-06-03,38.0,1.0,True,DETECTED OUTBREAK,16.583333333333332,18.566322558151718,0.16666666666666666,0.0
seasonal,2024-06-03,38.0,1.0,True,DETECTED OUTBREAK,24.666666666666668,28.167652842696473,0.16666666666666666,0.0
non-seasonal,2024-06-10,32.0,1.0,True,DETECTED OUTBREAK,21.083333333333332,23.004528539688298,0.16666666666666666,0.0
seasonal,2024-06-10,32.0,1.0,True,DETECTED OUTBREAK,30.25,31.93287230008183,0.0,0.0
non-seasonal,2024-06-17,49.0,1.0,True,DETECTED OUTBREAK,10.583333333333334,13.160863700127486,0.5,0.0
seasonal,2024-06-17,49.0,1.0,True,DETECTED OUTBREAK,24.333333333333332,26.166135875720485,0.0,0.0
non-seasonal,2024-06-24,53.0,1.0,True,DETECTED OUTBREAK,11.583333333333334,13.330728912303833,0.3333333333333333,0.0
seasonal,2024-06-24,53.0,1.0,True,DETECTED OUTBREAK,20.583333333333332,22.50277760633118,0.16666666666666666,0.0
non-seasonal,2024-07-01,47.0,1.0,True,DETECTED OUTBREAK,11.416666666666666,13.88794441233115,0.5,0.0
seasonal,2024-07-01,47.0,1.0,True,DETECTED OUTBREAK,19.166666666666668,20.538581580365605,0.0,0.0
non-seasonal,2024-07-08,65.0,1.0,True,DETECTED OUTBREAK,20.166666666666668,23.101226518664905,0.3333333333333333,0.0
seasonal,2024-07-08,65.0,1.0,True,DETECTED OUTBREAK,8.5,10.835897132525146,0.5,0.0
non-seasonal,2024-07-15,65.0,1.0,True,DETECTED OUTBREAK,30.5,33.24279370530301,0.0,0.0
seasonal,2024-07-15,65.0,1.0,True,DETECTED OUTBREAK,4.666666666666667,5.477225575051661,0.8333333333333334,0.0
non-seasonal,2024-07-22,40.0,1.0,True,DETECTED OUTBREAK,15.75,18.258559636510213,0.3333333333333333,0.0
seasonal,2024-07-22,40.0,1.0,True,DETECTED OUTBREAK,5.583333333333333,7.328596955306884,0.6666666666666666,0.0
non-seasonal,2024-07-29,48.0,1.0,True,DETECTED OUTBREAK,25.166666666666668,27.19987745070432,0.0,0.0
seasonal,2024-07-29,48.0,1.0,True,DETECTED OUTBREAK,2.0,2.449489742783178,1.0,0.0
non-seasonal,2024-08-05,38.0,1.0,True,DETECTED OUTBREAK,19.0,19.689252567496478,0.0,0.0
seasonal,2024-08-05,38.0,1.0,True,DETECTED OUTBREAK,1.5833333333333333,2.131118642090737,1.0,0.0
non-seasonal,2024-08-12,29.0,1.0,True,DETECTED OUTBREAK,16.333333333333332,17.066048165876012,0.0,0.0
seasonal,2024-08-12,29.0,1.0,True,DETECTED OUTBREAK,1.5,1.7795130420052185,1.0,0.0
non-seasonal,2024-08-19,21.0,1.0,True,DETECTED OUTBREAK,11.5,12.523311596112801,0.16666666666666666,0.0
seasonal,2024-08-19,21.0,0.86,True,DETECTED OUTBREAK,1.5833333333333333,1.925703334715224,1.0,0.019600000000000003
non-seasonal,2024-08-26,17.0,1.0,True,DETECTED OUTBREAK,9.583333333333334,10.833974340010226,0.3333333333333333,0.0
seasonal,2024-08-26,17.0,0.6,True,DETECTED OUTBREAK,1.75,1.925703334715224,1.0,0.16000000000000003
non-seasonal,2024-09-02,16.0,0.98,False,FALSE ALARM,9.666666666666666,10.614455552060438,0.16666666666666666,0.9603999999999999
seasonal,2024-09-02,16.0,0.32,False,CORRECT BELOW THRESHOLD,1.9166666666666667,2.207940216581962,1.0,0.1024
non-seasonal,2024-09-09,15.0,0.98,False,FALSE ALARM,10.25,10.647769719523428,0.0,0.9603999999999999
seasonal,2024-09-09,15.0,0.34,False,CORRECT BELOW THRESHOLD,2.5833333333333335,2.806243040080456,1.0,0.11560000000000002
non-seasonal,2024-09-16,11.0,0.96,False,FALSE ALARM,9.083333333333334,9.257879526831905,0.0,0.9216
seasonal,2024-09-16,11.0,0.09,False,CORRECT BELOW THRESHOLD,2.0,2.0816659994661326,1.0,0.0081
non-seasonal,2024-09-23,6.0,0.59,False,FALSE ALARM,5.583333333333333,5.96168320750664,0.3333333333333333,0.34809999999999997
seasonal,2024-09-23,6.0,0.02,False,CORRECT BELOW THRESHOLD,0.9166666666666666,1.3070322617798436,1.0,0.0004
non-seasonal,2024-09-30,7.0,0.53,False,FALSE ALARM,6.166666666666667,7.106335201775948,0.16666666666666666,0.28090000000000004
seasonal,2024-09-30,7.0,0.02,False,CORRECT BELOW THRESHOLD,1.8333333333333333,2.345207879911715,0.8333333333333334,0.0004
non-seasonal,2024-10-07,6.0,0.38,False,CORRECT BELOW THRESHOLD,5.5,6.171169527191206,0.5,0.1444
seasonal,2024-10-07,6.0,0.01,False,CORRECT BELOW THRESHOLD,1.8333333333333333,2.48327740429189,0.8333333333333334,0.0001
non-seasonal,2024-10-14,5.0,0.22,False,CORRECT BELOW THRESHOLD,5.0,5.530220007679019,0.5,0.0484
seasonal,2024-10-14,5.0,0.0,False,CORRECT BELOW THRESHOLD,1.8333333333333333,2.48327740429189,0.8333333333333334,0.0
non-seasonal,2024-10-21,5.0,0.32,False,CORRECT BELOW THRESHOLD,5.083333333333333,5.762667206540157,0.3333333333333333,0.1024
seasonal,2024-10-21,5.0,0.01,False,CORRECT BELOW THRESHOLD,2.0,2.581988897471611,0.8333333333333334,0.0001
non-seasonal,2024-10-28,6.0,0.32,False,CORRECT BELOW THRESHOLD,5.333333333333333,5.744562646538029,0.3333333333333333,0.1024
seasonal,2024-10-28,6.0,0.01,False,CORRECT BELOW THRESHOLD,2.5,2.857738033247041,0.8333333333333334,0.0001
non-seasonal,2024-11-04,5.0,0.27,False,CORRECT BELOW THRESHOLD,6.0,6.324555320336759,0.16666666666666666,0.0729
seasonal,2024-11-04,5.0,0.01,False,CORRECT BELOW THRESHOLD,2.8333333333333335,3.1885210782848317,0.6666666666666666,0.0001
non-seasonal,2024-11-11,1.0,0.14,False,CORRECT BELOW THRESHOLD,4.166666666666667,4.672615256292062,0.5,0.019600000000000003
seasonal,2024-11-11,1.0,0.0,False,CORRECT BELOW THRESHOLD,1.6666666666666667,2.160246899469287,0.8333333333333334,0.0
non-seasonal,2024-11-18,4.0,0.1,False,CORRECT BELOW THRESHOLD,4.333333333333333,4.654746681256314,0.3333333333333333,0.010000000000000002
seasonal,2024-11-18,4.0,0.0,False,CORRECT BELOW THRESHOLD,2.0,2.23606797749979,0.8333333333333334,0.0
non-seasonal,2024-11-25,5.0,0.27,False,CORRECT BELOW THRESHOLD,5.416666666666667,5.762667206540157,0.3333333333333333,0.0729
seasonal,2024-11-25,5.0,0.02,False,CORRECT BELOW THRESHOLD,2.6666666666666665,3.0,0.6666666666666666,0.0004
non-seasonal,2024-12-02,3.0,0.1,False,CORRECT BELOW THRESHOLD,4.416666666666667,4.712571838532897,0.3333333333333333,0.010000000000000002
seasonal,2024-12-02,3.0,0.01,False,CORRECT BELOW THRESHOLD,2.1666666666666665,2.48327740429189,0.8333333333333334,0.0001
non-seasonal,2024-12-09,4.0,0.15,False,CORRECT BELOW THRESHOLD,4.333333333333333,4.509249752822894,0.5,0.0225
seasonal,2024-12-09,4.0,0.02,False,CORRECT BELOW THRESHOLD,2.4166666666666665,2.5900450446533423,0.8333333333333334,0.0004
non-seasonal,2024-12-16,2.0,0.12,False,CORRECT BELOW THRESHOLD,4.333333333333333,4.898979485566356,0.5,0.0144
seasonal,2024-12-16,2.0,0.01,False,CORRECT BELOW THRESHOLD,2.5833333333333335,3.272358986011977,0.6666666666666666,0.0001
non-seasonal,2024-12-23,4.0,0.11,False,CORRECT BELOW THRESHOLD,4.333333333333333,4.795831523312719,0.3333333333333333,0.0121
seasonal,2024-12-23,4.0,0.07,False,CORRECT BELOW THRESHOLD,2.5,2.8722813232690143,0.6666666666666666,0.004900000000000001
non-seasonal,2024-12-30,4.0,0.18,False,CORRECT BELOW THRESHOLD,4.666666666666667,5.131601439446884,0.16666666666666666,0.0324
seasonal,2024-12-30,4.0,0.02,False,CORRECT BELOW THRESHOLD,3.1666666666666665,3.488074922742725,0.5,0.0004
non-seasonal,2025-01-06,2.0,0.16,False,CORRECT BELOW THRESHOLD,4.083333333333333,4.587119648174295,0.5,0.0256
seasonal,2025-01-06,2.0,0.06,False,CORRECT BELOW THRESHOLD,2.25,2.806243040080456,0.6666666666666666,0.0036
non-seasonal,2025-01-13,5.0,0.2,False,CORRECT BELOW THRESHOLD,4.75,5.053876400018768,0.3333333333333333,0.04000000000000001
seasonal,2025-01-13,5.0,0.13,False,CORRECT BELOW THRESHOLD,3.5833333333333335,3.8351444996679502,0.5,0.016900000000000002
non-seasonal,2025-01-20,4.0,0.17,False,CORRECT BELOW THRESHOLD,4.0,4.123105625617661,0.3333333333333333,0.028900000000000006
seasonal,2025-01-20,4.0,0.04,False,CORRECT BELOW THRESHOLD,3.25,3.4217441946079683,0.5,0.0016
non-seasonal,2025-01-27,2.0,0.11,False,CORRECT BELOW THRESHOLD,2.5,2.6770630673681683,0.8333333333333334,0.0121
seasonal,2025-01-27,2.0,0.06,False,CORRECT BELOW THRESHOLD,1.9166666666666667,2.318404623873926,0.8333333333333334,0.0036
non-seasonal,2025-02-03,5.0,0.22,False,CORRECT BELOW THRESHOLD,2.6666666666666665,2.8284271247461903,0.6666666666666666,0.0484
seasonal,2025-02-03,5.0,0.1,False,CORRECT BELOW THRESHOLD,1.8333333333333333,2.1213203435596424,1.0,0.010000000000000002
non-seasonal,2025-02-10,3.0,0.14,False,CORRECT BELOW THRESHOLD,1.8333333333333333,2.5495097567963922,0.8333333333333334,0.019600000000000003
seasonal,2025-02-10,3.0,0.09,False,CORRECT BELOW THRESHOLD,1.3333333333333333,1.7320508075688772,1.0,0.0081
non-seasonal,2025-02-17,5.0,0.33,False,CORRECT BELOW THRESHOLD,1.6666666666666667,2.309401076758503,1.0,0.10890000000000001
seasonal,2025-02-17,5.0,0.13,False,CORRECT BELOW THRESHOLD,1.4166666666666667,1.9685019685029528,1.0,0.016900000000000002
non-seasonal,2025-02-24,4.0,0.18,False,CORRECT BELOW THRESHOLD,1.3333333333333333,1.632993161855452,1.0,0.0324
seasonal,2025-02-24,4.0,0.12,False,CORRECT BELOW THRESHOLD,1.6666666666666667,1.8257418583505538,1.0,0.0144
non-seasonal,2025-03-03,6.0,0.43,True,DETECTED OUTBREAK,2.5,3.13581462037113,0.8333333333333334,0.3249000000000001
seasonal,2025-03-03,6.0,0.24,True,MISSED OUTBREAK,2.3333333333333335,2.958039891549808,0.8333333333333334,0.5776
non-seasonal,2025-03-10,8.0,0.77,True,DETECTED OUTBREAK,2.1666666666666665,2.614064523559687,0.8333333333333334,0.05289999999999999
seasonal,2025-03-10,8.0,0.54,True,DETECTED OUTBREAK,2.1666666666666665,2.614064523559687,1.0,0.21159999999999995
non-seasonal,2025-03-17,10.0,0.88,True,DETECTED OUTBREAK,2.5833333333333335,2.950988534937629,1.0,0.0144
seasonal,2025-03-17,10.0,0.88,True,DETECTED OUTBREAK,2.4166666666666665,2.8357832545289257,1.0,0.0144
non-seasonal,2025-03-24,6.0,0.49,True,DETECTED OUTBREAK,2.8333333333333335,3.9791121287711073,0.8333333333333334,0.2601
seasonal,2025-03-24,6.0,0.41,True,DETECTED OUTBREAK,3.0,3.9157800414902435,0.8333333333333334,0.3481000000000001
