age_group,week,date,mean_cases,median_cases,p10_cases,p90_cases
under_1,1,2026-07-20,0.559,0.0,0.0,2.0
under_1,2,2026-07-27,0.477,0.0,0.0,1.0
under_1,3,2026-08-03,0.413,0.0,0.0,1.0
under_1,4,2026-08-10,0.458,0.0,0.0,1.0
under_1,5,2026-08-17,0.381,0.0,0.0,1.0
under_1,6,2026-08-24,0.37,0.0,0.0,1.0
1_to_4,1,2026-07-20,0.749,1.0,0.0,2.0
1_to_4,2,2026-07-27,0.696,0.5,0.0,2.0
1_to_4,3,2026-08-03,0.601,0.0,0.0,2.0
1_to_4,4,2026-08-10,0.531,0.0,0.0,1.0
1_to_4,5,2026-08-17,0.513,0.0,0.0,2.0
1_to_4,6,2026-08-24,0.499,0.0,0.0,1.0
5_to_10,1,2026-07-20,1.485,1.0,0.0,3.0
5_to_10,2,2026-07-27,1.4,1.0,0.0,3.0
5_to_10,3,2026-08-03,1.339,1.0,0.0,3.0
5_to_10,4,2026-08-10,1.278,1.0,0.0,3.0
5_to_10,5,2026-08-17,1.193,1.0,0.0,3.0
5_to_10,6,2026-08-24,1.151,1.0,0.0,3.0
11_to_14,1,2026-07-20,0.41,0.0,0.0,1.0
11_to_14,2,2026-07-27,0.417,0.0,0.0,1.0
11_to_14,3,2026-08-03,0.434,0.0,0.0,1.0
11_to_14,4,2026-08-10,0.416,0.0,0.0,1.0
11_to_14,5,2026-08-17,0.385,0.0,0.0,1.0
11_to_14,6,2026-08-24,0.388,0.0,0.0,1.0
15_to_24,1,2026-07-20,0.819,1.0,0.0,2.0
15_to_24,2,2026-07-27,0.87,1.0,0.0,2.0
15_to_24,3,2026-08-03,0.877,1.0,0.0,2.0
15_to_24,4,2026-08-10,0.873,1.0,0.0,2.0
15_to_24,5,2026-08-17,0.861,1.0,0.0,2.0
15_to_24,6,2026-08-24,0.868,1.0,0.0,2.0
25_to_34,1,2026-07-20,1.18,1.0,0.0,3.0
25_to_34,2,2026-07-27,1.187,1.0,0.0,3.0
25_to_34,3,2026-08-03,1.292,1.0,0.0,3.0
25_to_34,4,2026-08-10,1.332,1.0,0.0,3.0
25_to_34,5,2026-08-17,1.235,1.0,0.0,3.0
25_to_34,6,2026-08-24,1.259,1.0,0.0,3.0
35_and_over,1,2026-07-20,2.529,2.0,1.0,5.0
35_and_over,2,2026-07-27,2.779,3.0,1.0,5.0
35_and_over,3,2026-08-03,2.927,3.0,1.0,5.0
35_and_over,4,2026-08-10,2.929,3.0,1.0,5.0
35_and_over,5,2026-08-17,3.026,3.0,1.0,6.0
35_and_over,6,2026-08-24,3.248,3.0,1.0,6.0
