region,origin_date,outbreak_threshold,observed_outbreak,predicted_probability,brier_score,mae,interval_80_coverage
North East,2024-01-22,5.0,False,0.15,0.0225,0.21286169970380506,1.0
North East,2024-06-24,5.0,False,0.22,0.0484,0.3104921394395077,1.0
North East,2024-12-02,5.0,False,0.13,0.016900000000000002,0.9033210948768469,1.0
North East,2025-05-05,5.0,False,0.03,0.0009,0.9830360265827215,1.0
North East,2025-10-13,5.0,False,0.0,0.0,0.9129066107030432,1.0
North East,2026-03-23,5.0,False,0.01,0.0001,0.6878531073446331,1.0
North West,2024-01-22,13.0,False,0.0,0.0,1.5494987468671682,0.6666666666666666
North West,2024-06-24,13.0,False,0.0,0.0,1.592105263157895,0.8333333333333334
North West,2024-12-02,13.0,False,0.0,0.0,2.054212130536204,0.3333333333333333
North West,2025-05-05,13.0,False,0.03,0.0009,0.9822490381252189,1.0
North West,2025-10-13,13.0,False,0.0,0.0,0.8255508919202518,1.0
North West,2026-03-23,13.0,False,0.02,0.0004,0.8005649717514124,1.0
Yorkshire and The Humber,2024-01-22,10.0,False,0.03,0.0009,0.48057644110275693,1.0
Yorkshire and The Humber,2024-06-24,10.0,False,0.04,0.0016,0.6678628389154704,1.0
Yorkshire and The Humber,2024-12-02,10.0,False,0.04,0.0016,1.6827190914422374,0.8333333333333334
Yorkshire and The Humber,2025-05-05,10.0,False,0.0,0.0,1.474903812521861,1.0
Yorkshire and The Humber,2025-10-13,10.0,False,0.0,0.0,0.9914305701294163,0.6666666666666666
Yorkshire and The Humber,2026-03-23,10.0,False,0.01,0.0001,0.4929378531073449,1.0
East Midlands,2024-01-22,9.0,False,0.13,0.016900000000000002,1.022784233310549,1.0
East Midlands,2024-06-24,9.0,False,0.28,0.07840000000000001,0.7138869902027797,1.0
East Midlands,2024-12-02,9.0,False,0.07,0.004900000000000001,1.9606166278999992,0.6666666666666666
East Midlands,2025-05-05,9.0,False,0.0,0.0,1.8266876530255336,0.0
East Midlands,2025-10-13,9.0,False,0.0,0.0,1.013990905911158,1.0
East Midlands,2026-03-23,9.0,False,0.0,0.0,1.2926553672316388,0.6666666666666666
West Midlands,2024-01-22,11.0,True,0.9,0.009999999999999995,2.881465026201868,1.0
West Midlands,2024-06-24,11.0,True,0.98,0.0004000000000000007,3.002392344497608,1.0
West Midlands,2024-12-02,11.0,False,0.13,0.016900000000000002,2.3687019705134245,0.6666666666666666
West Midlands,2025-05-05,11.0,False,0.0,0.0,1.0906785589366914,0.8333333333333334
West Midlands,2025-10-13,11.0,False,0.0,0.0,0.7301504022385451,1.0
West Midlands,2026-03-23,11.0,False,0.37,0.1369,1.974011299435028,1.0
East of England,2024-01-22,11.0,False,0.14,0.019600000000000003,0.7332535885167464,1.0
East of England,2024-06-24,11.0,False,0.3,0.09,0.8237639553429029,1.0
East of England,2024-12-02,11.0,False,0.01,0.0001,1.9706044539948557,0.3333333333333333
East of England,2025-05-05,11.0,False,0.0,0.0,1.3406785589366914,0.8333333333333334
East of England,2025-10-13,11.0,False,0.0,0.0,0.8968170689052121,0.8333333333333334
East of England,2026-03-23,11.0,False,0.01,0.0001,0.5596045197740114,1.0
South East,2024-01-22,15.0,False,0.0,0.0,1.7086466165413536,1.0
South East,2024-06-24,15.0,False,0.0,0.0,2.0570175438596494,0.6666666666666666
South East,2024-12-02,15.0,False,0.0,0.0,3.580143301590809,0.16666666666666666
South East,2025-05-05,15.0,False,0.0,0.0,3.542759706190976,0.0
South East,2025-10-13,15.0,False,0.0,0.0,2.256470793983911,0.0
South East,2026-03-23,15.0,False,0.0,0.0,3.396327683615819,0.0
South West,2024-01-22,10.0,False,0.01,0.0001,0.582934609250399,1.0
South West,2024-06-24,10.0,False,0.03,0.0009,0.7077352472089314,0.8333333333333334
South West,2024-12-02,10.0,False,0.02,0.0004,2.0211353051138774,0.6666666666666666
South West,2025-05-05,10.0,False,0.01,0.0001,1.3303602658272125,1.0
South West,2025-10-13,10.0,False,0.0,0.0,1.1290661070304306,0.6666666666666666
South West,2026-03-23,10.0,False,0.0,0.0,1.7296610169491526,0.0
