region,week,date,mean_cases,median_cases,p10_cases,p90_cases
North East,1,2026-05-11,1.39,1.0,0.0,3.0
North East,2,2026-05-18,1.54,1.0,0.0,4.0
North East,3,2026-05-25,1.73,1.0,0.0,4.0
North East,4,2026-06-01,1.89,1.0,0.0,5.0
North East,5,2026-06-08,2.02,2.0,0.0,4.0
North East,6,2026-06-15,2.28,2.0,0.0,5.0
North West,1,2026-05-11,7.03,7.0,3.0,12.0
North West,2,2026-05-18,7.91,8.0,3.9000000000000004,13.0
North West,3,2026-05-25,8.57,8.0,4.0,13.100000000000009
North West,4,2026-06-01,8.35,8.0,4.0,12.100000000000009
North West,5,2026-06-08,9.3,9.0,4.0,14.0
North West,6,2026-06-15,10.47,10.0,6.0,15.0
Yorkshire and The Humber,1,2026-05-11,4.1,4.0,2.0,7.0
Yorkshire and The Humber,2,2026-05-18,5.13,5.0,2.0,10.0
Yorkshire and The Humber,3,2026-05-25,5.67,5.0,2.0,10.0
Yorkshire and The Humber,4,2026-06-01,6.45,6.0,3.0,11.100000000000009
Yorkshire and The Humber,5,2026-06-08,6.59,6.0,3.0,12.0
Yorkshire and The Humber,6,2026-06-15,6.77,6.0,3.0,12.0
East Midlands,1,2026-05-11,2.57,2.0,0.0,5.0
East Midlands,2,2026-05-18,3.34,3.0,1.0,6.0
East Midlands,3,2026-05-25,3.52,3.0,1.0,6.0
East Midlands,4,2026-06-01,3.65,3.0,1.0,6.0
East Midlands,5,2026-06-08,3.71,3.0,1.0,7.0
East Midlands,6,2026-06-15,4.43,4.0,1.0,8.0
West Midlands,1,2026-05-11,10.16,10.0,6.9,15.0
West Midlands,2,2026-05-18,10.83,11.0,6.0,16.0
West Midlands,3,2026-05-25,11.44,11.0,6.0,17.10000000000001
West Midlands,4,2026-06-01,11.93,12.0,5.0,17.10000000000001
West Midlands,5,2026-06-08,12.41,12.0,6.0,20.0
West Midlands,6,2026-06-15,12.35,12.0,6.0,18.10000000000001
East of England,1,2026-05-11,5.51,5.0,2.0,9.0
East of England,2,2026-05-18,6.19,5.5,2.0,11.0
East of England,3,2026-05-25,6.68,6.0,3.0,11.0
East of England,4,2026-06-01,7.14,7.0,3.0,11.0
East of England,5,2026-06-08,7.9,8.0,3.0,12.0
East of England,6,2026-06-15,7.91,7.0,3.0,14.0
South East,1,2026-05-11,4.22,4.0,2.0,7.0
South East,2,2026-05-18,5.22,5.0,2.0,9.0
South East,3,2026-05-25,5.44,5.0,3.0,8.0
South East,4,2026-06-01,6.09,6.0,3.0,9.0
South East,5,2026-06-08,5.59,6.0,2.0,9.0
South East,6,2026-06-15,5.98,6.0,3.0,9.0
South West,1,2026-05-11,2.55,2.0,1.0,5.0
South West,2,2026-05-18,3.28,3.0,1.0,6.0
South West,3,2026-05-25,3.19,3.0,1.0,6.0
South West,4,2026-06-01,3.66,3.0,1.0,6.0
South West,5,2026-06-08,3.8,4.0,1.0,6.1000000000000085
South West,6,2026-06-15,4.26,4.0,1.9000000000000004,7.1000000000000085
