year,period_start,period_end,complete_year,region,age_group,annual_cases,england_age_cases
2023,2023-01-01,2023-12-31,True,East Midlands,under_1,1.0,47.0
2023,2023-01-01,2023-12-31,True,East of England,under_1,0.0,47.0
2023,2023-01-01,2023-12-31,True,London,under_1,16.0,47.0
2023,2023-01-01,2023-12-31,True,North East,under_1,0.0,47.0
2023,2023-01-01,2023-12-31,True,North West,under_1,2.0,47.0
2023,2023-01-01,2023-12-31,True,South East,under_1,2.0,47.0
2023,2023-01-01,2023-12-31,True,South West,under_1,1.0,47.0
2023,2023-01-01,2023-12-31,True,West Midlands,under_1,21.0,47.0
2023,2023-01-01,2023-12-31,True,Yorkshire and The Humber,under_1,4.0,47.0
2023,2023-01-01,2023-12-31,True,East Midlands,1_to_4,0.0,99.0
2023,2023-01-01,2023-12-31,True,East of England,1_to_4,2.0,99.0
2023,2023-01-01,2023-12-31,True,London,1_to_4,36.0,99.0
2023,2023-01-01,2023-12-31,True,North East,1_to_4,1.0,99.0
2023,2023-01-01,2023-12-31,True,North West,1_to_4,3.0,99.0
2023,2023-01-01,2023-12-31,True,South East,1_to_4,5.0,99.0
2023,2023-01-01,2023-12-31,True,South West,1_to_4,4.0,99.0
2023,2023-01-01,2023-12-31,True,West Midlands,1_to_4,39.0,99.0
2023,2023-01-01,2023-12-31,True,Yorkshire and The Humber,1_to_4,9.0,99.0
2023,2023-01-01,2023-12-31,True,East Midlands,5_to_10,1.0,87.0
2023,2023-01-01,2023-12-31,True,East of England,5_to_10,3.0,87.0
2023,2023-01-01,2023-12-31,True,London,5_to_10,29.0,87.0
2023,2023-01-01,2023-12-31,True,North East,5_to_10,1.0,87.0
2023,2023-01-01,2023-12-31,True,North West,5_to_10,1.0,87.0
2023,2023-01-01,2023-12-31,True,South East,5_to_10,2.0,87.0
2023,2023-01-01,2023-12-31,True,South West,5_to_10,0.0,87.0
2023,2023-01-01,2023-12-31,True,West Midlands,5_to_10,46.0,87.0
2023,2023-01-01,2023-12-31,True,Yorkshire and The Humber,5_to_10,4.0,87.0
2023,2023-01-01,2023-12-31,True,East Midlands,11_to_14,2.0,37.0
2023,2023-01-01,2023-12-31,True,East of England,11_to_14,0.0,37.0
2023,2023-01-01,2023-12-31,True,London,11_to_14,8.0,37.0
2023,2023-01-01,2023-12-31,True,North East,11_to_14,0.0,37.0
2023,2023-01-01,2023-12-31,True,North West,11_to_14,1.0,37.0
2023,2023-01-01,2023-12-31,True,South East,11_to_14,1.0,37.0
2023,2023-01-01,2023-12-31,True,South West,11_to_14,2.0,37.0
