region,age_group,population,source
North East,under_1,25050.0,"ONS MYE2 - Persons, mid-2024"
North East,1_to_4,108283.0,"ONS MYE2 - Persons, mid-2024"
North East,5_to_10,183289.0,"ONS MYE2 - Persons, mid-2024"
North East,11_to_14,130483.0,"ONS MYE2 - Persons, mid-2024"
North East,15_to_24,338514.0,"ONS MYE2 - Persons, mid-2024"
North East,25_to_34,350214.0,"ONS MYE2 - Persons, mid-2024"
North East,35_and_over,1600354.0,"ONS MYE2 - Persons, mid-2024"
North West,under_1,75445.0,"ONS MYE2 - Persons, mid-2024"
North West,1_to_4,333609.0,"ONS MYE2 - Persons, mid-2024"
North West,5_to_10,550648.0,"ONS MYE2 - Persons, mid-2024"
North West,11_to_14,385545.0,"ONS MYE2 - Persons, mid-2024"
North West,15_to_24,955344.0,"ONS MYE2 - Persons, mid-2024"
North West,25_to_34,1038483.0,"ONS MYE2 - Persons, mid-2024"
North West,35_and_over,4335478.0,"ONS MYE2 - Persons, mid-2024"
Yorkshire and The Humber,under_1,55291.0,"ONS MYE2 - Persons, mid-2024"
Yorkshire and The Humber,1_to_4,240965.0,"ONS MYE2 - Persons, mid-2024"
Yorkshire and The Humber,5_to_10,398106.0,"ONS MYE2 - Persons, mid-2024"
Yorkshire and The Humber,11_to_14,280209.0,"ONS MYE2 - Persons, mid-2024"
Yorkshire and The Humber,15_to_24,706802.0,"ONS MYE2 - Persons, mid-2024"
Yorkshire and The Humber,25_to_34,747410.0,"ONS MYE2 - Persons, mid-2024"
Yorkshire and The Humber,35_and_over,3194811.0,"ONS MYE2 - Persons, mid-2024"
East Midlands,under_1,46372.0,"ONS MYE2 - Persons, mid-2024"
East Midlands,1_to_4,207072.0,"ONS MYE2 - Persons, mid-2024"
East Midlands,5_to_10,349210.0,"ONS MYE2 - Persons, mid-2024"
East Midlands,11_to_14,247750.0,"ONS MYE2 - Persons, mid-2024"
East Midlands,15_to_24,616849.0,"ONS MYE2 - Persons, mid-2024"
East Midlands,25_to_34,642244.0,"ONS MYE2 - Persons, mid-2024"
East Midlands,35_and_over,2908457.0,"ONS MYE2 - Persons, mid-2024"
West Midlands,under_1,63699.0,"ONS MYE2 - Persons, mid-2024"
West Midlands,1_to_4,277710.0,"ONS MYE2 - Persons, mid-2024"
West Midlands,5_to_10,455584.0,"ONS MYE2 - Persons, mid-2024"
West Midlands,11_to_14,319606.0,"ONS MYE2 - Persons, mid-2024"
West Midlands,15_to_24,761881.0,"ONS MYE2 - Persons, mid-2024"
West Midlands,25_to_34,811109.0,"ONS MYE2 - Persons, mid-2024"
West Midlands,35_and_over,3441125.0,"ONS MYE2 - Persons, mid-2024"
East of England,under_1,64450.0,"ONS MYE2 - Persons, mid-2024"
East of England,1_to_4,287106.0,"ONS MYE2 - Persons, mid-2024"
East of England,5_to_10,473276.0,"ONS MYE2 - Persons, mid-2024"
East of England,11_to_14,329207.0,"ONS MYE2 - Persons, mid-2024"
East of England,15_to_24,708177.0,"ONS MYE2 - Persons, mid-2024"
East of England,25_to_34,834879.0,"ONS MYE2 - Persons, mid-2024"
East of England,35_and_over,3811299.0,"ONS MYE2 - Persons, mid-2024"
London,under_1,105682.0,"ONS MYE2 - Persons, mid-2024"
London,1_to_4,421575.0,"ONS MYE2 - Persons, mid-2024"
London,5_to_10,631653.0,"ONS MYE2 - Persons, mid-2024"
London,11_to_14,430942.0,"ONS MYE2 - Persons, mid-2024"
London,15_to_24,1173369.0,"ONS MYE2 - Persons, mid-2024"
London,25_to_34,1676956.0,"ONS MYE2 - Persons, mid-2024"
London,35_and_over,4595261.0,"ONS MYE2 - Persons, mid-2024"
South East,under_1,89537.0,"ONS MYE2 - Persons, mid-2024"
South East,1_to_4,404918.0,"ONS MYE2 - Persons, mid-2024"
South East,5_to_10,681078.0,"ONS MYE2 - Persons, mid-2024"
South East,11_to_14,489129.0,"ONS MYE2 - Persons, mid-2024"
South East,15_to_24,1087785.0,"ONS MYE2 - Persons, mid-2024"
South East,25_to_34,1180675.0,"ONS MYE2 - Persons, mid-2024"
South East,35_and_over,5606661.0,"ONS MYE2 - Persons, mid-2024"
South West,under_1,48286.0,"ONS MYE2 - Persons, mid-2024"
South West,1_to_4,217193.0,"ONS MYE2 - Persons, mid-2024"
South West,5_to_10,374781.0,"ONS MYE2 - Persons, mid-2024"
South West,11_to_14,272960.0,"ONS MYE2 - Persons, mid-2024"
South West,15_to_24,686452.0,"ONS MYE2 - Persons, mid-2024"
South West,25_to_34,704745.0,"ONS MYE2 - Persons, mid-2024"
South West,35_and_over,3516425.0,"ONS MYE2 - Persons, mid-2024"
