region,age_group,population,protected_fraction,mmr1_24m,mmr1_5y,mmr2_5y,source,region_risk_multiplier
North East,under_1,25050.0,0.0,0.9390000000000001,0.9540000000000001,0.902,"ONS MYE2 - Persons, mid-2024",0.3918874735097964
North East,1_to_4,108283.0,0.9390000000000001,0.9390000000000001,0.9540000000000001,0.902,"ONS MYE2 - Persons, mid-2024",0.3918874735097964
North East,5_to_10,183289.0,0.902,0.9390000000000001,0.9540000000000001,0.902,"ONS MYE2 - Persons, mid-2024",0.3918874735097964
North East,11_to_14,130483.0,0.918,0.9390000000000001,0.9540000000000001,0.902,"ONS MYE2 - Persons, mid-2024",0.3918874735097964
North East,15_to_24,338514.0,0.918,0.9390000000000001,0.9540000000000001,0.902,"ONS MYE2 - Persons, mid-2024",0.3918874735097964
North East,25_to_34,350214.0,0.918,0.9390000000000001,0.9540000000000001,0.902,"ONS MYE2 - Persons, mid-2024",0.3918874735097964
North East,35_and_over,1600354.0,0.918,0.9390000000000001,0.9540000000000001,0.902,"ONS MYE2 - Persons, mid-2024",0.3918874735097964
North West,under_1,75445.0,0.0,0.889,0.929,0.856,"ONS MYE2 - Persons, mid-2024",0.49277086118554864
North West,1_to_4,333609.0,0.889,0.889,0.929,0.856,"ONS MYE2 - Persons, mid-2024",0.49277086118554864
North West,5_to_10,550648.0,0.856,0.889,0.929,0.856,"ONS MYE2 - Persons, mid-2024",0.49277086118554864
North West,11_to_14,385545.0,0.918,0.889,0.929,0.856,"ONS MYE2 - Persons, mid-2024",0.49277086118554864
North West,15_to_24,955344.0,0.918,0.889,0.929,0.856,"ONS MYE2 - Persons, mid-2024",0.49277086118554864
North West,25_to_34,1038483.0,0.918,0.889,0.929,0.856,"ONS MYE2 - Persons, mid-2024",0.49277086118554864
North West,35_and_over,4335478.0,0.918,0.889,0.929,0.856,"ONS MYE2 - Persons, mid-2024",0.49277086118554864
Yorkshire and The Humber,under_1,55291.0,0.0,0.899,0.9279999999999999,0.857,"ONS MYE2 - Persons, mid-2024",0.6232809209131335
Yorkshire and The Humber,1_to_4,240965.0,0.899,0.899,0.9279999999999999,0.857,"ONS MYE2 - Persons, mid-2024",0.6232809209131335
Yorkshire and The Humber,5_to_10,398106.0,0.857,0.899,0.9279999999999999,0.857,"ONS MYE2 - Persons, mid-2024",0.6232809209131335
Yorkshire and The Humber,11_to_14,280209.0,0.918,0.899,0.9279999999999999,0.857,"ONS MYE2 - Persons, mid-2024",0.6232809209131335
Yorkshire and The Humber,15_to_24,706802.0,0.918,0.899,0.9279999999999999,0.857,"ONS MYE2 - Persons, mid-2024",0.6232809209131335
Yorkshire and The Humber,25_to_34,747410.0,0.918,0.899,0.9279999999999999,0.857,"ONS MYE2 - Persons, mid-2024",0.6232809209131335
Yorkshire and The Humber,35_and_over,3194811.0,0.918,0.899,0.9279999999999999,0.857,"ONS MYE2 - Persons, mid-2024",0.6232809209131335
East Midlands,under_1,46372.0,0.0,0.907,0.9309999999999999,0.851,"ONS MYE2 - Persons, mid-2024",0.5951100665459724
East Midlands,1_to_4,207072.0,0.907,0.907,0.9309999999999999,0.851,"ONS MYE2 - Persons, mid-2024",0.5951100665459724
East Midlands,5_to_10,349210.0,0.851,0.907,0.9309999999999999,0.851,"ONS MYE2 - Persons, mid-2024",0.5951100665459724
East Midlands,11_to_14,247750.0,0.918,0.907,0.9309999999999999,0.851,"ONS MYE2 - Persons, mid-2024",0.5951100665459724
East Midlands,15_to_24,616849.0,0.918,0.907,0.9309999999999999,0.851,"ONS MYE2 - Persons, mid-2024",0.5951100665459724
East Midlands,25_to_34,642244.0,0.918,0.907,0.9309999999999999,0.851,"ONS MYE2 - Persons, mid-2024",0.5951100665459724
East Midlands,35_and_over,2908457.0,0.918,0.907,0.9309999999999999,0.851,"ONS MYE2 - Persons, mid-2024",0.5951100665459724
West Midlands,under_1,63699.0,0.0,0.8859999999999999,0.919,0.836,"ONS MYE2 - Persons, mid-2024",1.7603093689538312
West Midlands,1_to_4,277710.0,0.8859999999999999,0.8859999999999999,0.919,0.836,"ONS MYE2 - Persons, mid-2024",1.7603093689538312
West Midlands,5_to_10,455584.0,0.836,0.8859999999999999,0.919,0.836,"ONS MYE2 - Persons, mid-2024",1.7603093689538312
West Midlands,11_to_14,319606.0,0.918,0.8859999999999999,0.919,0.836,"ONS MYE2 - Persons, mid-2024",1.7603093689538312
West Midlands,15_to_24,761881.0,0.918,0.8859999999999999,0.919,0.836,"ONS MYE2 - Persons, mid-2024",1.7603093689538312
West Midlands,25_to_34,811109.0,0.918,0.8859999999999999,0.919,0.836,"ONS MYE2 - Persons, mid-2024",1.7603093689538312
West Midlands,35_and_over,3441125.0,0.918,0.8859999999999999,0.919,0.836,"ONS MYE2 - Persons, mid-2024",1.7603093689538312
East of England,under_1,64450.0,0.0,0.9079999999999999,0.938,0.877,"ONS MYE2 - Persons, mid-2024",0.7086150364480674
East of England,1_to_4,287106.0,0.9079999999999999,0.9079999999999999,0.938,0.877,"ONS MYE2 - Persons, mid-2024",0.7086150364480674
East of England,5_to_10,473276.0,0.877,0.9079999999999999,0.938,0.877,"ONS MYE2 - Persons, mid-2024",0.7086150364480674
East of England,11_to_14,329207.0,0.918,0.9079999999999999,0.938,0.877,"ONS MYE2 - Persons, mid-2024",0.7086150364480674
East of England,15_to_24,708177.0,0.918,0.9079999999999999,0.938,0.877,"ONS MYE2 - Persons, mid-2024",0.7086150364480674
East of England,25_to_34,834879.0,0.918,0.9079999999999999,0.938,0.877,"ONS MYE2 - Persons, mid-2024",0.7086150364480674
East of England,35_and_over,3811299.0,0.918,0.9079999999999999,0.938,0.877,"ONS MYE2 - Persons, mid-2024",0.7086150364480674
London,under_1,105682.0,0.0,0.8079999999999999,0.8440000000000001,0.696,"ONS MYE2 - Persons, mid-2024",3.002596163198256
London,1_to_4,421575.0,0.8079999999999999,0.8079999999999999,0.8440000000000001,0.696,"ONS MYE2 - Persons, mid-2024",3.002596163198256
London,5_to_10,631653.0,0.696,0.8079999999999999,0.8440000000000001,0.696,"ONS MYE2 - Persons, mid-2024",3.002596163198256
London,11_to_14,430942.0,0.918,0.8079999999999999,0.8440000000000001,0.696,"ONS MYE2 - Persons, mid-2024",3.002596163198256
London,15_to_24,1173369.0,0.918,0.8079999999999999,0.8440000000000001,0.696,"ONS MYE2 - Persons, mid-2024",3.002596163198256
London,25_to_34,1676956.0,0.918,0.8079999999999999,0.8440000000000001,0.696,"ONS MYE2 - Persons, mid-2024",3.002596163198256
London,35_and_over,4595261.0,0.918,0.8079999999999999,0.8440000000000001,0.696,"ONS MYE2 - Persons, mid-2024",3.002596163198256
South East,under_1,89537.0,0.0,0.9179999999999999,0.938,0.8759999999999999,"ONS MYE2 - Persons, mid-2024",0.25
South East,1_to_4,404918.0,0.9179999999999999,0.9179999999999999,0.938,0.8759999999999999,"ONS MYE2 - Persons, mid-2024",0.25
South East,5_to_10,681078.0,0.8759999999999999,0.9179999999999999,0.938,0.8759999999999999,"ONS MYE2 - Persons, mid-2024",0.25
South East,11_to_14,489129.0,0.918,0.9179999999999999,0.938,0.8759999999999999,"ONS MYE2 - Persons, mid-2024",0.25
South East,15_to_24,1087785.0,0.918,0.9179999999999999,0.938,0.8759999999999999,"ONS MYE2 - Persons, mid-2024",0.25
South East,25_to_34,1180675.0,0.918,0.9179999999999999,0.938,0.8759999999999999,"ONS MYE2 - Persons, mid-2024",0.25
South East,35_and_over,5606661.0,0.918,0.9179999999999999,0.938,0.8759999999999999,"ONS MYE2 - Persons, mid-2024",0.25
