region,mmr1_24m,mmr1_5y,mmr2_5y
East Midlands,0.907,0.9309999999999999,0.851
East of England,0.9079999999999999,0.938,0.877
England,0.889,0.9179999999999999,0.8370000000000001
London,0.8079999999999999,0.8440000000000001,0.696
North East,0.9390000000000001,0.9540000000000001,0.902
North West,0.889,0.929,0.856
South East,0.9179999999999999,0.938,0.8759999999999999
South West,0.925,0.948,0.8959999999999999
West Midlands,0.8859999999999999,0.919,0.836
Yorkshire and The Humber,0.899,0.9279999999999999,0.857
