areacd,areanm,period,value
E12000001,North East,1991-06-30,301
E12000001,North East,1992-06-30,302
E12000001,North East,1993-06-30,302
E12000001,North East,1994-06-30,302
E12000001,North East,1995-06-30,301
E12000001,North East,1996-06-30,300
E12000001,North East,1997-06-30,299
E12000001,North East,1998-06-30,298
E12000001,North East,1999-06-30,297
E12000001,North East,2000-06-30,296
E12000001,North East,2001-06-30,296
E12000001,North East,2002-06-30,296
E12000001,North East,2003-06-30,296
E12000001,North East,2004-06-30,296
E12000001,North East,2005-06-30,297
E12000001,North East,2006-06-30,297
E12000001,North East,2007-06-30,299
E12000001,North East,2008-06-30,299
E12000001,North East,2009-06-30,300
E12000001,North East,2010-06-30,301
E12000001,North East,2011-06-30,303
E12000001,North East,2012-06-30,303
E12000001,North East,2013-06-30,303
E12000001,North East,2014-06-30,304
E12000001,North East,2015-06-30,304
E12000001,North East,2016-06-30,305
E12000001,North East,2017-06-30,306
E12000001,North East,2018-06-30,306
E12000001,North East,2019-06-30,307
E12000001,North East,2020-06-30,307
E12000001,North East,2021-06-30,309
E12000001,North East,2022-06-30,313
E12000001,North East,2023-06-30,318
E12000001,North East,2024-06-30,322
E12000002,North West,1991-06-30,485
E12000002,North West,1992-06-30,485
E12000002,North West,1993-06-30,485
E12000002,North West,1994-06-30,485
E12000002,North West,1995-06-30,484
E12000002,North West,1996-06-30,483
E12000002,North West,1997-06-30,482
E12000002,North West,1998-06-30,481
E12000002,North West,1999-06-30,480
E12000002,North West,2000-06-30,480
E12000002,North West,2001-06-30,480
E12000002,North West,2002-06-30,481
E12000002,North West,2003-06-30,483
E12000002,North West,2004-06-30,485
E12000002,North West,2005-06-30,487
E12000002,North West,2006-06-30,489
E12000002,North West,2007-06-30,491
E12000002,North West,2008-06-30,493
E12000002,North West,2009-06-30,495
E12000002,North West,2010-06-30,498
E12000002,North West,2011-06-30,500
E12000002,North West,2012-06-30,502
E12000002,North West,2013-06-30,504
E12000002,North West,2014-06-30,506
E12000002,North West,2015-06-30,509
E12000002,North West,2016-06-30,513
E12000002,North West,2017-06-30,516
E12000002,North West,2018-06-30,518
E12000002,North West,2019-06-30,522
E12000002,North West,2020-06-30,523
E12000002,North West,2021-06-30,526
E12000002,North West,2022-06-30,533
E12000002,North West,2023-06-30,541
E12000002,North West,2024-06-30,548
E12000003,Yorkshire and The Humber,1991-06-30,320
E12000003,Yorkshire and The Humber,1992-06-30,321
E12000003,Yorkshire and The Humber,1993-06-30,322
E12000003,Yorkshire and The Humber,1994-06-30,322
E12000003,Yorkshire and The Humber,1995-06-30,322
E12000003,Yorkshire and The Humber,1996-06-30,322
E12000003,Yorkshire and The Humber,1997-06-30,322
E12000003,Yorkshire and The Humber,1998-06-30,322
E12000003,Yorkshire and The Humber,1999-06-30,322
E12000003,Yorkshire and The Humber,2000-06-30,322
E12000003,Yorkshire and The Humber,2001-06-30,323
E12000003,Yorkshire and The Humber,2002-06-30,325
E12000003,Yorkshire and The Humber,2003-06-30,326
E12000003,Yorkshire and The Humber,2004-06-30,329
E12000003,Yorkshire and The Humber,2005-06-30,332
E12000003,Yorkshire and The Humber,2006-06-30,333
E12000003,Yorkshire and The Humber,2007-06-30,335
E12000003,Yorkshire and The Humber,2008-06-30,337
E12000003,Yorkshire and The Humber,2009-06-30,339
E12000003,Yorkshire and The Humber,2010-06-30,341
E12000003,Yorkshire and The Humber,2011-06-30,343
E12000003,Yorkshire and The Humber,2012-06-30,345
E12000003,Yorkshire and The Humber,2013-06-30,346
E12000003,Yorkshire and The Humber,2014-06-30,348
E12000003,Yorkshire and The Humber,2015-06-30,349
E12000003,Yorkshire and The Humber,2016-06-30,351
E12000003,Yorkshire and The Humber,2017-06-30,352
E12000003,Yorkshire and The Humber,2018-06-30,353
E12000003,Yorkshire and The Humber,2019-06-30,355
E12000003,Yorkshire and The Humber,2020-06-30,355
E12000003,Yorkshire and The Humber,2021-06-30,356
E12000003,Yorkshire and The Humber,2022-06-30,360
E12000003,Yorkshire and The Humber,2023-06-30,364
E12000003,Yorkshire and The Humber,2024-06-30,368
E12000004,East Midlands,1991-06-30,257
E12000004,East Midlands,1992-06-30,258
E12000004,East Midlands,1993-06-30,260
E12000004,East Midlands,1994-06-30,261
E12000004,East Midlands,1995-06-30,262
E12000004,East Midlands,1996-06-30,263
E12000004,East Midlands,1997-06-30,264
E12000004,East Midlands,1998-06-30,265
E12000004,East Midlands,1999-06-30,266
E12000004,East Midlands,2000-06-30,267
E12000004,East Midlands,2001-06-30,268
E12000004,East Midlands,2002-06-30,270
E12000004,East Midlands,2003-06-30,272
E12000004,East Midlands,2004-06-30,275
E12000004,East Midlands,2005-06-30,277
E12000004,East Midlands,2006-06-30,279
E12000004,East Midlands,2007-06-30,282
E12000004,East Midlands,2008-06-30,284
E12000004,East Midlands,2009-06-30,286
E12000004,East Midlands,2010-06-30,288
E12000004,East Midlands,2011-06-30,290
E12000004,East Midlands,2012-06-30,293
E12000004,East Midlands,2013-06-30,295
E12000004,East Midlands,2014-06-30,297
E12000004,East Midlands,2015-06-30,300
E12000004,East Midlands,2016-06-30,303
E12000004,East Midlands,2017-06-30,306
E12000004,East Midlands,2018-06-30,308
E12000004,East Midlands,2019-06-30,310
E12000004,East Midlands,2020-06-30,311
E12000004,East Midlands,2021-06-30,312
E12000004,East Midlands,2022-06-30,316
E12000004,East Midlands,2023-06-30,320
E12000004,East Midlands,2024-06-30,324
E12000005,West Midlands,1991-06-30,402
E12000005,West Midlands,1992-06-30,403
E12000005,West Midlands,1993-06-30,404
E12000005,West Midlands,1994-06-30,404
E12000005,West Midlands,1995-06-30,404
E12000005,West Midlands,1996-06-30,405
E12000005,West Midlands,1997-06-30,405
E12000005,West Midlands,1998-06-30,406
E12000005,West Midlands,1999-06-30,406
E12000005,West Midlands,2000-06-30,405
E12000005,West Midlands,2001-06-30,406
E12000005,West Midlands,2002-06-30,408
E12000005,West Midlands,2003-06-30,410
E12000005,West Midlands,2004-06-30,411
E12000005,West Midlands,2005-06-30,414
