areacd,areanm,period,value
E06000001,Hartlepool,1991-06-30,970
E06000001,Hartlepool,1992-06-30,972
E06000001,Hartlepool,1993-06-30,970
E06000001,Hartlepool,1994-06-30,970
E06000001,Hartlepool,1995-06-30,966
E06000001,Hartlepool,1996-06-30,963
E06000001,Hartlepool,1997-06-30,958
E06000001,Hartlepool,1998-06-30,956
E06000001,Hartlepool,1999-06-30,955
E06000001,Hartlepool,2000-06-30,957
E06000001,Hartlepool,2001-06-30,960
E06000001,Hartlepool,2002-06-30,959
E06000001,Hartlepool,2003-06-30,960
E06000001,Hartlepool,2004-06-30,962
E06000001,Hartlepool,2005-06-30,963
E06000001,Hartlepool,2006-06-30,967
E06000001,Hartlepool,2007-06-30,969
E06000001,Hartlepool,2008-06-30,973
E06000001,Hartlepool,2009-06-30,975
E06000001,Hartlepool,2010-06-30,977
E06000001,Hartlepool,2011-06-30,981
E06000001,Hartlepool,2012-06-30,984
E06000001,Hartlepool,2013-06-30,985
E06000001,Hartlepool,2014-06-30,984
E06000001,Hartlepool,2015-06-30,981
E06000001,Hartlepool,2016-06-30,983
E06000001,Hartlepool,2017-06-30,983
E06000001,Hartlepool,2018-06-30,983
E06000001,Hartlepool,2019-06-30,984
E06000001,Hartlepool,2020-06-30,982
E06000001,Hartlepool,2021-06-30,986
E06000001,Hartlepool,2022-06-30,1003
E06000001,Hartlepool,2023-06-30,1022
E06000001,Hartlepool,2024-06-30,1046
E06000002,Middlesbrough,1991-06-30,2686
E06000002,Middlesbrough,1992-06-30,2675
E06000002,Middlesbrough,1993-06-30,2681
E06000002,Middlesbrough,1994-06-30,2703
E06000002,Middlesbrough,1995-06-30,2717
E06000002,Middlesbrough,1996-06-30,2705
E06000002,Middlesbrough,1997-06-30,2682
E06000002,Middlesbrough,1998-06-30,2673
E06000002,Middlesbrough,1999-06-30,2654
E06000002,Middlesbrough,2000-06-30,2640
E06000002,Middlesbrough,2001-06-30,2621
E06000002,Middlesbrough,2002-06-30,2600
E06000002,Middlesbrough,2003-06-30,2581
E06000002,Middlesbrough,2004-06-30,2570
E06000002,Middlesbrough,2005-06-30,2571
E06000002,Middlesbrough,2006-06-30,2564
E06000002,Middlesbrough,2007-06-30,2565
E06000002,Middlesbrough,2008-06-30,2559
E06000002,Middlesbrough,2009-06-30,2548
E06000002,Middlesbrough,2010-06-30,2555
E06000002,Middlesbrough,2011-06-30,2568
E06000002,Middlesbrough,2012-06-30,2570
E06000002,Middlesbrough,2013-06-30,2572
E06000002,Middlesbrough,2014-06-30,2580
E06000002,Middlesbrough,2015-06-30,2591
E06000002,Middlesbrough,2016-06-30,2610
E06000002,Middlesbrough,2017-06-30,2621
E06000002,Middlesbrough,2018-06-30,2618
E06000002,Middlesbrough,2019-06-30,2638
E06000002,Middlesbrough,2020-06-30,2644
E06000002,Middlesbrough,2021-06-30,2671
E06000002,Middlesbrough,2022-06-30,2772
E06000002,Middlesbrough,2023-06-30,2851
E06000002,Middlesbrough,2024-06-30,2898
E06000003,Redcar and Cleveland,1991-06-30,595
