date,year,region,age_group,synthetic_cases,annual_region_age_cases
2024-01-01,2024,East Midlands,11_to_14,0.6322624743677375,25.0
2024-01-08,2024,East Midlands,11_to_14,0.5553656869446343,25.0
2024-01-15,2024,East Midlands,11_to_14,0.45283663704716337,25.0
2024-01-22,2024,East Midlands,11_to_14,0.5553656869446343,25.0
2024-01-29,2024,East Midlands,11_to_14,0.5980861244019139,25.0
2024-02-05,2024,East Midlands,11_to_14,0.5980861244019139,25.0
2024-02-12,2024,East Midlands,11_to_14,0.6066302118933697,25.0
2024-02-19,2024,East Midlands,11_to_14,0.4955570745044429,25.0
2024-02-26,2024,East Midlands,11_to_14,0.6664388243335612,25.0
2024-03-04,2024,East Midlands,11_to_14,0.4955570745044429,25.0
2024-03-11,2024,East Midlands,11_to_14,0.7518796992481203,25.0
2024-03-18,2024,East Midlands,11_to_14,0.6578947368421053,25.0
2024-03-25,2024,East Midlands,11_to_14,0.6151742993848257,25.0
2024-04-01,2024,East Midlands,11_to_14,0.7689678742310321,25.0
2024-04-08,2024,East Midlands,11_to_14,0.9056732740943267,25.0
2024-04-15,2024,East Midlands,11_to_14,0.7177033492822966,25.0
2024-04-22,2024,East Midlands,11_to_14,0.7006151742993848,25.0
2024-04-29,2024,East Midlands,11_to_14,0.692071086807929,25.0
2024-05-06,2024,East Midlands,11_to_14,0.7433356117566644,25.0
2024-05-13,2024,East Midlands,11_to_14,0.8885850991114149,25.0
2024-05-20,2024,East Midlands,11_to_14,0.8287764866712235,25.0
2024-05-27,2024,East Midlands,11_to_14,0.6066302118933697,25.0
2024-06-03,2024,East Midlands,11_to_14,0.6578947368421053,25.0
2024-06-10,2024,East Midlands,11_to_14,0.4955570745044429,25.0
2024-06-17,2024,East Midlands,11_to_14,0.683526999316473,25.0
2024-06-24,2024,East Midlands,11_to_14,0.6237183868762816,25.0
2024-07-01,2024,East Midlands,11_to_14,0.6578947368421053,25.0
2024-07-08,2024,East Midlands,11_to_14,0.7433356117566644,25.0
2024-07-15,2024,East Midlands,11_to_14,0.7177033492822966,25.0
2024-07-22,2024,East Midlands,11_to_14,0.5126452494873548,25.0
2024-07-29,2024,East Midlands,11_to_14,0.5724538619275461,25.0
2024-08-05,2024,East Midlands,11_to_14,0.44429254955570746,25.0
2024-08-12,2024,East Midlands,11_to_14,0.3417634996582365,25.0
2024-08-19,2024,East Midlands,11_to_14,0.2734107997265892,25.0
2024-08-26,2024,East Midlands,11_to_14,0.19651401230348597,25.0
2024-09-02,2024,East Midlands,11_to_14,0.23923444976076555,25.0
2024-09-09,2024,East Midlands,11_to_14,0.19651401230348597,25.0
2024-09-16,2024,East Midlands,11_to_14,0.19651401230348597,25.0
2024-09-23,2024,East Midlands,11_to_14,0.11961722488038277,25.0
2024-09-30,2024,East Midlands,11_to_14,0.14524948735475052,25.0
2024-10-07,2024,East Midlands,11_to_14,0.11961722488038277,25.0
2024-10-14,2024,East Midlands,11_to_14,0.10252904989747096,25.0
2024-10-21,2024,East Midlands,11_to_14,0.23069036226930964,25.0
2024-10-28,2024,East Midlands,11_to_14,0.15379357484620643,25.0
2024-11-04,2024,East Midlands,11_to_14,0.29049897470950103,25.0
2024-11-11,2024,East Midlands,11_to_14,0.23923444976076555,25.0
2024-11-18,2024,East Midlands,11_to_14,0.24777853725222146,25.0
2024-11-25,2024,East Midlands,11_to_14,0.24777853725222146,25.0
2024-12-02,2024,East Midlands,11_to_14,0.2819548872180451,25.0
2024-12-09,2024,East Midlands,11_to_14,0.22214627477785373,25.0
2024-12-16,2024,East Midlands,11_to_14,0.18796992481203006,25.0
2024-12-23,2024,East Midlands,11_to_14,0.1367053998632946,25.0
2024-12-30,2024,East Midlands,11_to_14,0.18796992481203006,25.0
2024-01-01,2024,East Midlands,15_to_24,0.556390977443609,22.0
2024-01-08,2024,East Midlands,15_to_24,0.48872180451127817,22.0
2024-01-15,2024,East Midlands,15_to_24,0.39849624060150374,22.0
2024-01-22,2024,East Midlands,15_to_24,0.48872180451127817,22.0
2024-01-29,2024,East Midlands,15_to_24,0.5263157894736842,22.0
