year,period_start,period_end,age_group,london_cases,period_status,source_note
2024,2024-01-01,2024-12-31,under_1,151,complete,"UKHSA Table 1 supplied by user"
2024,2024-01-01,2024-12-31,1_to_4,327,complete,"UKHSA Table 1 supplied by user"
2024,2024-01-01,2024-12-31,5_to_10,362,complete,"UKHSA Table 1 supplied by user"
2024,2024-01-01,2024-12-31,11_to_14,78,complete,"UKHSA Table 1 supplied by user"
2024,2024-01-01,2024-12-31,15_to_24,122,complete,"UKHSA Table 1 supplied by user"
2024,2024-01-01,2024-12-31,25_to_34,144,complete,"UKHSA Table 1 supplied by user"
2024,2024-01-01,2024-12-31,35_and_over,121,complete,"UKHSA Table 1 supplied by user"
2025,2025-01-01,2025-12-31,under_1,49,complete,"UKHSA Table 1 supplied by user"
2025,2025-01-01,2025-12-31,1_to_4,166,complete,"UKHSA Table 1 supplied by user"
2025,2025-01-01,2025-12-31,5_to_10,144,complete,"UKHSA Table 1 supplied by user"
2025,2025-01-01,2025-12-31,11_to_14,32,complete,"UKHSA Table 1 supplied by user"
2025,2025-01-01,2025-12-31,15_to_24,37,complete,"UKHSA Table 1 supplied by user"
2025,2025-01-01,2025-12-31,25_to_34,41,complete,"UKHSA Table 1 supplied by user"
2025,2025-01-01,2025-12-31,35_and_over,24,complete,"UKHSA Table 1 supplied by user"
2026,2026-01-01,2026-07-06,under_1,46,partial,"UKHSA table supplied by user; period end confirmed from ukhsa-chart-download.csv"
2026,2026-01-01,2026-07-06,1_to_4,136,partial,"UKHSA table supplied by user; period end confirmed from ukhsa-chart-download.csv"
2026,2026-01-01,2026-07-06,5_to_10,114,partial,"UKHSA table supplied by user; period end confirmed from ukhsa-chart-download.csv"
2026,2026-01-01,2026-07-06,11_to_14,31,partial,"UKHSA table supplied by user; period end confirmed from ukhsa-chart-download.csv"
2026,2026-01-01,2026-07-06,15_to_24,57,partial,"UKHSA table supplied by user; period end confirmed from ukhsa-chart-download.csv"
2026,2026-01-01,2026-07-06,25_to_34,48,partial,"UKHSA table supplied by user; period end confirmed from ukhsa-chart-download.csv"
2026,2026-01-01,2026-07-06,35_and_over,47,partial,"UKHSA table supplied by user; period end confirmed from ukhsa-chart-download.csv"
