source_code,source_name,target_code,target_name,rank,distance_km,distance_weight
S12000033,Aberdeen City,S12000034,Aberdeenshire,1,25.9059290222611,0.49432330012614734
S12000033,Aberdeen City,S12000041,Angus,2,67.17318653629832,0.19064011977752354
S12000033,Aberdeen City,S12000020,Moray,3,74.97555480170871,0.1708010612390426
S12000033,Aberdeen City,S12000042,Dundee City,4,88.78467958914212,0.14423551885728644
S12000034,Aberdeenshire,S12000033,Aberdeen City,1,25.9059290222611,0.46184557848427804
S12000034,Aberdeenshire,S12000020,Moray,2,49.64958477054236,0.24097963418532986
S12000034,Aberdeenshire,S12000041,Angus,3,70.39910534680416,0.16995299466546368
S12000034,Aberdeenshire,S12000042,Dundee City,4,94.04472712446794,0.12722179266492833
S12000041,Angus,S12000042,Dundee City,1,23.780369437740248,0.4538119190502133
S12000041,Angus,S12000048,Perth and Kinross,2,55.304422906478635,0.19513475637406458
S12000041,Angus,S12000047,Fife,3,56.68067320546521,0.19039673454731282
S12000041,Angus,S12000033,Aberdeen City,4,67.17318653629832,0.16065659002840935
N09000001,Antrim and Newtownabbey,N09000008,Mid and East Antrim,1,16.199242936132105,0.34020717367534803
N09000001,Antrim and Newtownabbey,N09000003,Belfast,2,19.195319815559944,0.28710637321679267
N09000001,Antrim and Newtownabbey,N09000007,Lisburn and Castlereagh,3,24.077834783868724,0.22888680416870727
N09000001,Antrim and Newtownabbey,N09000011,Ards and North Down,4,38.32484081594552,0.143799648939152
N09000011,Ards and North Down,N09000003,Belfast,1,20.59896125678058,0.35230349419795953
N09000011,Ards and North Down,N09000007,Lisburn and Castlereagh,2,24.95375588333681,0.2908213922401237
N09000011,Ards and North Down,N09000001,Antrim and Newtownabbey,3,38.32484081594552,0.18935723862400988
N09000011,Ards and North Down,N09000010,"Newry, Mourne and Down",4,43.32126365799558,0.1675178749379068
S12000035,Argyll and Bute,S12000018,Inverclyde,1,71.22885738182153,0.278472377471691
S12000035,Argyll and Bute,S12000021,North Ayrshire,2,78.98178776041168,0.2511372535637887
S12000035,Argyll and Bute,S12000039,West Dunbartonshire,3,82.37695649224482,0.2407866241280132
S12000035,Argyll and Bute,S12000038,Renfrewshire,4,86.38913652663572,0.2296037448365071
N09000002,"Armagh City, Banbridge and Craigavon",N09000010,"Newry, Mourne and Down",1,26.182397079419,0.32799556561017756
